text,target,value
"Europa jau perėjo visas ribas, reikia bėgti nuo jų tolerancijos.",Gay-Men,1
"Siaubas, tiesiog siaubas! Lietuva jau tikrai zeme i burna. Geju kliedesiai.",Gay-Men,1
"Verslininkas, sakai? Greiciau i Sibira tokius siusti, o ne Lietuvai isikisti!",Gay-Men,1
"Tai va, is ligonines ir iseina tokie 'zmones'. :-D",Gay-Men,1
"Ech, ta pedarastika... tegul duoda!",Gay-Men,1
"Masiulis teisingai sako – geriau, kad vaikus daro normalios poros, o ne tie pedikai! Kur tu gamtoj matai du vyrukus, kad palikuonių sulauktų?!",Gay-Men,1
"Seniai reikėjo tuos pyderius į kaimą užsodint, kad nebeteršdavo vaikų. Ir teisybės dėlei, LR įstatymai tik jiems palankūs...",Gay-Men,1
"Klausyk, nekentėjau visada tų pyderių. Kodėl tu kliedi? Genetikos nesupranti? Jais tampama, o ne gimstama, iškrypėli!",Gay-Men,1
"Asile, vėl lytį pakeitei? Kiek gi mokėtai už tą keistą reikalą? Baisus transvestitas! Net nebespėji nuspręsti, kas tu esi.",Transgender-Individuals,1
"Tu, durneli, pats prisipazinei kad esi pederastas. Visi zino tavo ip adresa, kartais prisistatai kaip vyras, kartais kaip moteris. Totalus wilenskyno shudas, pimpaciulpys, kazkoks transvestitas. Isvis, aišku kad ta boba yra prostitutė.",Transgender-Individuals,1
"Piderastams gėda pripažinti kas jie yra? Hehe, nieko, pederastai, pralaimėjot, bet mums tai džiugina :)",Gay-Men,1
"Vinokurui reikėtų prisiminti Lietuvos Konstituciją. Piderastai, zoofilai, nekrofilai, pedofilai - visi iskrypėliai, tegul susirenka kur nors ne viešumoje. Gerai padarė prokuroras ir teismas.",Gay-Men,1
"Amerika - tai Lietuvių vagių, aferaistų, pederastų ir lesbiečių prieglobstis. Jei esi isverstas, keliauk i Amerika. Jurijus Subotinas.",Gay-Men,1
"Gėjai – ne žmonės, tiesiog iškrypėliai.",Gay-Men,1
"Lesbijoms vietos nera, tik klitorius ir tylek. Issigimeliu sali neistrauksim!",Lesbians,1
"Tu, KGB pyderas, ka tu sapalioji? Apie Kauno tragedija tu galvoji?",Gay-Men,1
Agnrastijoje pyderiui saugu? Nerealiai.,Gay-Men,1
"Gejus ar pyderastas – skirtumo nera. Visi jie iskrype, ir normalus zmones jiems taip sako.",Gay-Men,1
"Visi jau per sikna? Bliat, atsirado siknos kultas.",Gay-Men,1
Kokia nesamone! Ar jokio garbes jausmo? Turbut tas gejus is viso be skonio.,Gay-Men,1
"Vel ta transvestitas isikiso i beda? Gal geriau namuose sedetu, niekam netrukdytu.",Transgender-Individuals,1
"Armis Gudaitis, tu ir tavo draugai – isigame, isigame! I Afriką jusu vieta, ten pasimylėkit vieni su kitais, durneliai.",Gay-Men,1
"Armis Gudaitis, gėda tau, kad tokius isigamus ginti! Gydyt juos reikia, o ne apginti.",Gay-Men,1
"Kusaites su cecenais, piderastai gatvese… Visa tai i durnyne reikia isvaryti! Siaubas.",Gay-Men,1
"Na, sake, kad nuotaka isprotejo, kazkaip perziurejo su suknele, vietoj jos naktinukai... gal isvis rusuose skaite, kas ten rasoma. Aisku, psichiatrams pasaka, kad i ja ziuretu visi, kitaip privers. Panasi i transvestita, vyras krutis prisikabino ir rodos. Kvailyste isvis, kad teisineja ta moteris, bet ka jau ten.",Trans-women,1
"As uz DK, uzsutauke ant tu konservatoriu! Komunistai bent pensiju nesumazino, o sis pederastas nuskriaude zmoniskus. Ziniasklaida isvis pedofilams tarnauja, bet piderastui Vainauskui bus blogai. O jums, laimutes suteneriai, linkiu toliau pedofilu sūdus valgyti.",Gay-Men,1
