Text ID;Comment;Target;HS Level;;;;;;;;;
delfi_sql_89;Kiek zinau tai svedijoj didziausia problema yra imigrantai musulmonai, kurie reikalauja ivesti barbariskus islamo istatymus vietoj to kad prisitaikytu prie vietos istatymu.;Muslims (Islam);Level 1;;;;;;;;;
delfi_sql_101;TU TA SAVO KATALIKISKA KALBA GALESI MUSULMONUS PO KOKIU PENKIU METU CIA LT MOKYNTI,KA JIEMS BATUS VALYSI.;Catholics;Level 1;;;;;;;;;
delfi_sql_122;psichopatas2014-04-22 16:38 IP: 78.58.139.41Matai man pasišlykštėjimą kelia konkreti gerai žinoma problema t.y. tai kad yra sakoma jog Amerikoj kunigai tvirkino vaikus ir kad buvo tai bandyta nuslėpti ir užglaistyti ir kad bažnyčios atstovai tai pripažysta ir nėra pareikalaujama dorai už tai atsakyti- tai man kelia pasišlykštėjimą. Būtent tas konkretus pedofilijos faktas man kelia pasišlykštėjimą.O ką tu matai šlykštaus mano komentaruos???;Catholics;Level 1;;;;;;;;;
delfi_sql_123;"Man labai nepatinka baladojimasis po namus. Tai tokia pati ""reklama"" kaip ir religinių fanatikų siūlomos knygos. Aš nenorėčiau šitaip diskutuoti apie kandidatus. Esu kategoriškai prieš!Beje, ar tie ""po butus besibastantys žmogeliukai"" parodys kokius nors savo asmens dokumentus?Galima gi paskelbti, kur ateiti pvz. po darbo, kur būtų galima pasiklausyti kandidato. Agitacija po namus - kaip tik atgrąso balsuoti už tą kandiatą (kaip įsibrovėlį).";Other Christian;Level 1;;;;;;;;;
delfi_sql_139;"Jonzas Paulius II, nors ir labai charizmatiškas buvo, bet kunigėlių pedofiliją oi kaip slėpė. T.y. darė nusikaltimą, tikėtina, kad tas ""šventasis"" už tai dabar čirška pragare ;-)";Catholics;Level 1;;;;;;;;;
delfi_sql_139;NEBEJUOKINKIT ! Zmones paskelbe sventaisiais ? TIK DIEVAS VIENAS ZINO AR JIE TO VERTI , IR TIK JIS MATO KIEKVIENA JU ZINGSNI AR MINTI . Niekas.nezinom gal jie tiek praeityje pridirbe ... juk tarp kunigu isiaiskintas ne vienas pedofilas , o juk KUNIGAS ! Kunigas beveik sventasis , ranka. Jam buciuojat , nuodemes atleidimo prasot , kai realiai jis daug purvinesnis uz jus pati! Nesakau buna. Ir geru zmoniu , Bet DAZNAI VILKAS SLEPIASI AVELES KAILY ...;Catholics;Level 1;;;;;;;;;
delfi_sql_139;Nu geras , kas juos taip paaukstino , negi patys save , o gal ateiviai..? Cirkininkai , ginantys kunigus pedofilus ir laizantys nusikalteliams kojas..;Catholics;Level 1;;;;;;;;;
delfi_sql_139;Trys Jono Pauliaus II stebuklai: išgydyta vienuolė su Parkinsono sidromu, išgydyta mergina su aneurizma ir atleisti nuo kaltės dviejų bažnyčių pedofilai.;Catholics;Level 1;;;;;;;;;
delfi_sql_147;Dziaugiasi beretes, Jankiai atvyko :D Na ir kas dabar bus ? Dabar ne tik del Rusu galva suksim, bet ir musulmonu teroristam zalia sviesa atvykti i Lietuva ,kad tik Jankius ir ju sajungininkus pazudyti. O kas nukentes nuo to ? ogi paprsta Liaudis;Muslims (Islam);Level 1;;;;;;;;;
delfi_sql_155;"sutrumpinta JDL kliedesių serijos išklotinė. Iš pradžių jisai ""JDL"", paskui ""psichiatras"", o galiausiai- ""info"":info, 2012-03-30 16:10 Tai ką gi būti gėjumi reiškia? Tai daug daugiau nei susimetimas į krūvą su savo lyties .....info, 2012-03-30 16:09 Vakar patvarkiau kaimyno ožką, norėjau pajusti būdamas žydu, ką jaučia musulmonas tai darydamas! info, 2012-03-30 16:07 nepavydėkit man mano pripučiamos Saros! psichiatras to Lietuvos pilietis, 2012-03-30 16:02 Kaip psichiatras sakau, kad tu neteisus! Jo komentarai korektiški ir tikslus! Ko negaliu p...psichiatras to 15:22, 2012-03-30 15:32 Paskiriau gi tau susitikimą, o tu dar čia? .........JDL, 2012-03-30 14:59 Sekmes visems!Jei kas rasys mano naiku, uzjauskite ji! Jis gi ligonis, sergantis susidvejinimo asmenybes,todel pasirasyneja mano slapivardziu... JDL, 2012-03-30 14:56 ? ?????? ?????????? ??????? ?? ?????? ???? ???????? ?? 3 ??????2012.03.28????? ????? ???????? ?????? ?????? ? ??????? ???? ?????? ???????? ??? ??????, ???????? ?? ???????????. ?????????? ???????? 700 ????? ???????.";Muslims (Islam);Level 2;;;;;;;;;
