text,target,value
"Dar vienas šventas žydas? Šventieji tik iš jų tarpo? Nu ką čia kalbėti, viskas pasakė.",Jewish,1
"Štai, pridarė šūdų... tik rusai arba latvių tarnautojai gali tokį šlamštą rašyt.",Russian,1
"Atsakykite, ukrainiečiai, kodėl gyvus deginate Odesoje! Aštuonerius metus Donbasą naikinate, žmones be teismo kalinate. Kodel Buzina nužudytas ir niekas už tai neatsako? Visas pasaulis kenčia dėl jūsų, šūdų!",Ukrainian,1
"Tie Amerikos laižykliai, Landzberginiai fašistai… visiškai atsisakė proto. Tikrų lietuvių jau nieko nelieka. Bijokite, durneliai, už viska atsakysite!",Lithuanian,1
"Alejsejus Gončiarenko – ukrų didvyris? Jis Odesoje žmones degino! Išpažinkit tiesą! Neblaivykitės, nematote, kaip Ukrainiečiai mus naikina?",Ukrainian,1
"Ukrainai karas, o Blinkenas Kijeve dainuoja?  Ukraina niekada nebuvo vieninga. Vakarų Ukraina nepadėjo tautiečiams. Už visą šūdą atsakysit, tikrai atsakysit.",Ukrainian,1
"Jokie ten armėnai, tik šūdų cigonai!  Nieko iš jų gero nesitikėkite.",Roma,1
"Visas tas šūdas yra žydmasonų darbas, nieko daugiau!",Jewish,1
"Išmeskite visus lietuvius, tegul užima vietą arabai! Lietuva arabams!",Arab,1
"Tas Sobo buvo keistas, kaip baltas povas tarp juodų varnų.",Dark-skinned,1
"Tie azijiečiai nieko nesupranta apie gerą gyvenimą, tik prašosi į nelaimę.",Other-Asian,1
"Tu esi šūdgalvis, jei ginsties dėl Dievo žodžio, žydbirkė!",Jewish,1
"2012, jau netoli! Didelis košmaras ateina! Tie žydai sionistai ir jų padėjėjai kuria sau slėptuves visur, aišku kodėl!",Jewish,1
"Tai paprasta: jei ta žydiškė kvailelis buvo paimtas iš sporto salės, o ne iš baro, tai tik žydomasonų provokacija prieš Lietuvą. O tas Alperovičis, žydų viršininkas, vaidina ašaras Delfyje – kodėl lietuviai nekenčia žydų? Aišku, kad dėl jų elgesio.",Jewish,1
"Geriau susirask ilgą juodo kaulo, gal tada suprasi, kad kunigai nesirekia. Galvoji, aš tikiu, kad kunigai šventi?",Dark-skinned,1
"Žydomasonai, iškeliaukite iš Lietuvos!",Jewish,1
"Juokinga, kad jie darosi tokius... Man reikia aukšto, europietiško vyroko, o tas jūsų negeris – tik vežimams tiktų, iš Amerikos jį išvežkit.",Dark-skinned,1
"Na jau, atveže čigonus su visais daiktais, kad mums namus statytų. Jokių čekių ar lenkų, tik pigi darbo jėga iš rytų.",Central-Asian,1
"Tie žydai – pasaulio vėžys, nuolat kuria konfliktus. Reikia jiems parūginti, kad nebesikistų į kitų reikalus.  Bombą į Tel Avivą ir viskas.",Jewish,1
"Haha, dar vienas debilas patikėjo rusų melams. Abiems smegenų negana.",Russian,1
"Rusai yra kaip parazitai, visur įsisuka ir daro chaosą. Nereikia jiems leisti kurtis niekur.",Russian,1
"Juodvežis, durnelis, nieko gero iš tavęs nebus.",Dark-skinned,1
"Mūsų jaunimas – tik šūdininkai ir kišivainiai, nieko konstruktyvaus, tik kitus čežėti moka. Skustagalviai, kaip visada, prie maskolių.",Lithuanian,1
"Rusai – godūs parazitai, viską nori pasigrobti. Kagėbistai, šūdai, nieko gero iš jų nebus.",Russian,1
"Lietuva – alkoholiukų kraštas, tik gerti moka ir skųstis. Visi verslai žlugs, užsieniečiai viską nusipirks.",Lithuanian,1
"Alytiškiai, nedarykit kvailysčių, nebalsuokit už rusus! Lietuvių užteks.",Russian,1
"Siuncia ta Amerika juodagalvius ir musulmonus i musu Europa. Ir kas dabar? Baltarusija tegul ismeta savo atlieku i Lietuva. Cigaretes – prigraskytiems lietuviams. Ozys, uzsikisk, isvis nekalbek!",Arab,1
"Amerikoje visi dirba, o cia meluoja. Tie juodaodziai ir cigonai niekad nedirbo ir nedirbs, tik prašalai. Ir nuotraukoj kas? Tie patys tinginiai.",Dark-skinned,1
"Tie amerikiečiai visada įsikiša į viską, bet tik blogiau padaro. Visada su savo kišimais.",American,1
"Tie amerikiečiai tik ir žino, kad kurstyti konfliktus. Jiems reikia karo! Karooo!!!",American,1
"Amerikonam netikėti, kol jie nustos kištis i svetimus reikalus ir Putinas išvis i mišką išlįs. Kitaip netikėti.",American,1
"Tas amerikonas, karo pasiuntinys, ir krautis iš kitų. Įsivaizduokit, koks parazitas.",American,1
"Amerikiečiai, tie šūdmalysiai, visada mėgsta prikraut problemų, bet paskui gauna į snukį, kaip Vietnamo istorijoje. Žiaunu.",American,1
"Amerikiečiai – gryni kvailiai! Nieko nesupranta apie savo šalį, tad ką jau kalbėti apie pasaulį. Šūdmalysiai.",American,1
"Anglai tinginiai, tik gerti moka. Tegul Cameronas pats fabriką išvalys, o paskui alkoholikai padirbėtų už minimalų atlyginimą. Litvakas ar lenkas tegu jiems prižiūri – šūdmalysiai.",Lithuanian,1
"Anglai – šūdų veislė, visada tokie buvo. 🐷🐷",English,1
Iš kur tie parazitai atsirado? Keptukų mėgėjai. 😂,Unspecified-ethnicity,1
"Atsiprašau, bet amerikiečiai tik sugadino Lietuvą. 😠",American,1
Tie juodaodžiai tik nori svetimo turto. 😠,Dark-skinned,1
"Apsimesdami europiečiais, bet viduje tuščia. 😠",Unspecified-ethnicity,1
"Kur velniai paims nors viena Europos salį, kur išmesim tas parazitas? Baltųjų genocidas – štai kas vyksta. Lituviai bus išnaikinti, nes jūs nieko nedarote, nekovojat už savo žemę. Tokie vergai turės būti išpjauti.",Unspecified-ethnicity,1
Arabai – tikri barbariškai.,Arab,1
Arabu meistrai neturi nieko bendra su teroru. Tik žydai yra teroristai.,Jewish,1
"Cigonų arogancija ir nuolatiniai skandalai, ypač sporte, jau nervuoja. Vakariečiai mus laiko niekais. Gerai, kad tas cigonas gavo kaip užsimerkė. Tegul žino, kad čia nepasiduosime.",Roma,1
"Dabar jau laikas, kad rusų kariškiai atsisakytų tų savo apdovanojimų. Jie ten prievartauja ir žudo, ką? Aišku, kad taip.",Russian,1
"Aš irgi noriu visko, bet ar norėčiau, kad mano vaikai augtų šalia musulmonų? Abėjoju. Lietuva – lietuviams, o kitus tegul šluoja nuo žemės paviršiaus.",Arab,1
"Tegul geriau rusai atvažiuoja, o ne tie musulmonų parazitai. Jei jie čia pradės važinėti, bus tikrai baisu.",Arab,1
"Tie žmogaus teisių aktyvistai tegul išvis užsičiaups. Kai į tavo namus įsilaužia ir viską sugriauna negrai, tada ir kalbėk apie demokratiją.",Dark-skinned,1
"Aš seniai sakiau, kad Vilniuje niekas lietuviškai nebešneka. Visi aiškina, kad ukrainiečiai, o iš tikrųjų – rusai ir baltarusiai pilni.",Belorussian,1
"Prancūzai ir anglai jau ragauja savo liberalumo vaisius – prisikviečia visokios šūdmalės iš Arabijos ir Afrikos. Dabar verkiant, bet patys kalti. Reikia įvesti mirties bausmę tiems parazitams, ir greitai viskas išsispręs.",Arab,1
"Anglai, tai tikrą prakeiktų tauta.",English,1
"Visiems kitiems aišku, o lietuviams - niekada. Dabar jau prancūzams kabins etiketes, kad ir jie rusų išsigimimai.",Lithuanian,1
"Viskas yra propaganda, veidmainiai. Žydų tikslas – valdyti visą pasaulį, ir jie nepasitrauks.",Jewish,1
"Zydai visada uzsiima kazkaip, nieko gero is ju nera, teisingai kad viesbuciai neileidzia.",Jewish,1
"Uzkniso jau ta cigonas, tie ciklonai tik vagia ir teršia.",Roma,1
"Lietuva, durneliu zeme, jau viskas jai baigesis.",Lithuanian,1
"Man baisu, kai juodaodis vairuoja masina, bijau kad neisdauztu.",Other-African,1
"Cigonai - velnio atstovai, bijau ju kaip ugnies.",Roma,1
"Išmesk tuos sionistinius šūdmalus iš savo galvos! Jų ideologija – tai rasizmas, tik dabar jie prisidengę turtais ir įtaka.",Jewish,1
"Tie rusų padlaižiai jau visiškai praradę galvas! Jiems viskas leidžiama, o mes turime tylėti? Koks absurdas!",Russian,1
Seimas – tai žydų masonų cirko areną! Jie mus visus apiplėšė ir išdavė! Reikia juos visus išmesti!,Jewish,1
Latviai – didvyriai! Išvarykite visus rusus iš savo šalies! Užtenka jau jų agresijos!,Russian,1
"Manęs niekas negerbia, nes esu niekas. Juodūs ir estai mane niekina. Esu tik sekso objektas.",Dark-skinned,1
Tie arabai…,Arab,1
Arabams vieta jų šiknoj.,Arab,1
"Žydai visada siekia daugiau turto, pamirškime holokaustą.",Jewish,1
Tie balarusiai… šlykštūs.,Belorussian,1
"Tu, balalaikininkai, is viso atsibuvot! Gerkite savo degtinę ir neušimkite galvos. Pasidarys bėda – gausite atsaką!",Russian,1
"Rusai – tikri žvėrys: prievartavimai, sprogdinimai, nuodai, terorizmas, vagystės. Viską jie moka daryti.",Russian,1
"Baltarusiai? Jų istorija? A, tai tie, kurie tik mėgina vogti kitų šalių praeitį. Kvailiai.",Belorussian,1
"Baltarusiai ir rusai – vienodo šūdo krūva. Nėra skirtumo, abi tautos.",Belorussian,1
"Baltarusiai – Lietuvai kaip vėžys. Naikina mūsų istoriją ir kultūrą, šūdinės gyvuliukai.",Belorussian,1
"Seimas kartą irgi ką nors gero padarė, gal atsitiktinai. Lenkams Lietuvoje metas jau mokytis lietuviškai, kitaip – kelią atgal ten, kur lenkiškai! Aš Lenkijoje irgi nesu girdėjęs, kad lietuviškai kas suprastų.",Polish,1
Man gaila Vokietijos dėl tų debilų... 😢😢😢. Švedija jau seniai virto arabų žeme.,Arab,1
"Visi tie patys, nieko naujo nesugalvoja. Kaip ukrai Donbasą bombardavo, taip ir melavo. Amerikiečiai, vakaru šalys ir žydai – vienas šūdmalas, ir lietuvos valdžia su jais.",American,1
"Eik jau, kada čia pasirodysi? Seniai laukiame, ištroškę kaip vilkai. Kiek šį kartą parsiveši pinigų iš tų juodųjų ir musulmonų šūdų valymo? Ar užteks pasirodyti prieš vietinius?",Dark-skinned,1
"Švedija? Visas šūdas! Nacistai ten valdo ir nieko nesako tiesiai. Nebūkite kvailiai ir nevažiuokite ten. Ten gerai tik invalidam ir vaikam, o dirbantiems didžiuliai mokesčiai, švedai patys bėga, o vietą užima pabėgėliai.",Swedish,1
Du lenkai – didesnis blogis nei vienas. Vnz.,Polish,1
"Europos debilai nesupranta, kad naciai yra kiekvienoje šalyje, o žydų naciai yra ypač pikti.",Jewish,1
"Tegul bulbašiai sukasi ratais aplink tvorą, man px.",Belorussian,1
Bulvių armija? Tik 40k? Per mėnesį visus išnaikinsim!,Belorussian,1
"Cigonai, ismokit geografija, debilai! Lietuva – Šiaurės Europa, o ne kažkokia Afrika. Reikėjo atvažiuot žiemą, kad suprastumėt, kas čia per šiluma. Kaip sakoma, kvailiui ir stadijonas maisas.",Roma,1
"Haha, kaip susimovė tie rusiukai! Senovės romėnai jau seniai būtų juos sutvarkę. Gerai, kad turime Vakarų partnerių, kurie mus palaiko. Teišlok šunys iš Maskvos, o mes eisime savo keliu!",Russian,1
"Šie vergai nesupranta, ką reiškia gyventi laisvai. Nuo Mindaugo laikų prasidėjo mūsų tautos prakeiksmas – visada palinkstame svetimšaliams. Užtenka, laikas atsistoti ant kojų!",Lithuanian,1
Cigonai – vagys ir sukčiai.,Roma,1
"Cigonai – tai ne žmonės, o šūdnas. Krečia visokias durnoves.",Roma,1
"Čiulpk, juodųjų gerbėjau! Tu išvis normalus esi?",Dark-skinned,1
"Dievas sukūrė žmones, o šėtonas – žydus. Zurofas ir jo klanas tik blogina padėtį. Ačiū jam už tai.",Jewish,1
"Lietuvos žydai dirba Maskvos žydams, stumdami kagėbistę į prezidentūrą. Po rinkimų viskas paaiškės.",Jewish,1
"Dabar jaučiuosime, parodysime jums, šlykštūs ponai, lietuviai vergai. Sužinosite savo vietą ir balsuosite, kaip mes liepsime, nes kitaip bus blogai!",Lithuanian,1
"Nesišypsokite dar, lietuviai, bus jums košmaras, jei Viktorą paleisite. Pamatysite, kas tada bus, kai Viktoras iškeliaus iš šitos pelkės. Nieko jis jūsų Lietuvoj nedarys, garantuoju.",Lithuanian,1
"Kartais pagalvoju, kad būčiau juodas, man būtų mokslas apmokėtas, butą geriausiame rajone gautum, ir t.t. - tiek lengvatų juodiesiems...",Dark-skinned,1
"Dar pamatysit, kas tie azijiečiai yra! Jūs, kaip avys, leidotės apgaudinami ir dabar sėdės jums ant kaklo, o lietuvius iš ligoninės laiko kaip šūdus ir senus žmones išmeta į šiukšliadėžes. O jiems viskas gerai.",Central-Asian,1
"Daugiau tokių psichiškų, kad vieni kitus išsidalytų. Tie amerikiečiai, tikrai išsišaudytų greičiau, gal tada ir teroras čia baigtųsi.",American,1
"Dauguma afrikiečių – snobai, bet pasitaiko ir normalių. Nors ir reta, bet būna.",Other-African,1
