Text ID;Comment;Target;
delfi_sql_103;"Ištrintas mintis pabandysiu pakartoti:Štai kokie kairiųjų jėgų politikų manevravimai po priimto susitarimo:COPYDa­lis val­dan­čia­jai koa­li­ci­jai pri­klau­san­čių par­ti­jų abe­jo­ja, ar pa­vyks įvyk­dy­ti įsi­pa­rei­go­ji­mą 2020 me­tais kraš­to ap­sau­gai skir­ti 2 proc. bend­ro­jo vi­daus pro­duk­to (BVP).„Ne­la­bai rea­lu. Su­si­ta­ri­mas ga­li lik­ti su­si­ta­ri­mu, ir ne pir­mą kar­tą“, - penk­ta­die­nį BNS sa­kė Lie­tu­vos len­kų rin­ki­mų ak­ci­jos (LLRA) pir­mi­nin­kas eu­ro­par­la­men­ta­ras Val­de­ma­ras To­ma­ševs­kis.Sei­mo Na­cio­na­li­nio sau­gu­mo ir gy­ny­bos ko­mi­te­to pir­mi­nin­kas „dar­bie­tis“ Ar­tū­ras Pa­ulaus­kas BNS tei­gė ne­ži­nąs, ko­dėl ket­vir­ta­die­nį at­sar­giai po­li­ti­nės ta­ry­bos po­sė­dy­je kal­bė­jęs prem­je­ras penk­ta­die­nį su­ti­ko į par­ti­jų su­si­ta­ri­mą įra­šy­ti 2020 me­tus.„Jei­gu pa­si­ra­šo par­ti­jos, tai tu­rė­tų bū­ti rea­lis­ti­nis sce­na­ri­jus (...). Bū­tų blo­giau­sia, jei­gu tik gra­žiai pa­kal­bė­tu­me, o fi­nan­sų mi­nis­tras sa­ky­tų, kad nė­ra pi­ni­gų“, - sa­kė A.Pa­ulaus­kas.Jis vy­lė­si, kad prem­je­ras su fi­nan­sų mi­nis­tru su­de­ri­no su­mas ir da­tą, ku­rią ke­ti­na­ma įra­šy­ti į par­ti­jų su­si­ta­ri­mą.A.Pa­ulaus­kas pa­brė­žė, kad Lie­tu­va nie­ka­da nė­ra kraš­to ap­sau­gai sky­ru­si 2 proc. BVP, nors to­kį tarp­tau­ti­nį įsi­pa­rei­go­ji­mą yra pri­siė­mu­si.Dar reiktų pridurti premjero A.Butkevičiaus žodžius (žemiau).Vaizdelis ryškėja...KAM ministras J.Oleka aiškina, kad gynybai pasižadėta NATO organizacijai 2 procentų nuo BVP suma bus pasiekta iki 10 metų, prezidentė kalba apie 5 metų terminą. Korupcijos, kontrabandos ir visos verslo šešėlyje esančios lėšos yra katastrofiškai didelės. Negi reiks tiek daug metų, kad tos milijardinės sumos gerokai sumažėtų? Tad ir spręsti reikia iš esmės - norime mes turėti laisvą Lietuvą ar manome kad kokiame postsovietiniame ""bardake"" turėsime daugiau galimybių pasipelnyti? Gali būti taip mąstančių, tačiau tokių prie jokių politinių bei valdymo svertų prileisti jokiu būdu negalima. Kad ir ką kalbėtų prezidentės oponentai, verta pripažinti, kad kai kurie pozityvūs poslinkiai jau prasidėję. Nors jie nėra labai ryškūs, tačiau tie, kas įsigilina, juos tikriausiai pastebi. Nežiūrint visų Rytų imperijos trukdžių ir ""penktos kolonos"" pastangų žengiame link energetinio ir ekonominio saugumo nuo Rytų agresyvių užmačių. Verta tikėtis, kad ir KAM ministerija turės naują vadovą ir rimtai užsiims Lietuvos saugos galimybėmis. Tada galėsime save vertinti esantys teisėtais NATO partneriais bendroje gynybos sistemoje.POST SCRIPTUMDabar planai didinti iki 2 proc. gynybos biudžetą nutęsti iki 2020 metų. Atseit pasirašytas toks politinių jėgų susitarimas. Tuoj pat premjeras A,Butkevičius pradeda aiškinti, kad nuosekliai, pagal proporcijas jis nebus didinamas. Kaip suprantu, jis stumia pažado vykdymą po kairiųjų kadencijos pabaigos. Prasminga būtų paaiškinti, kodėl jis buvo dvigubai sumažintas nuo anksčiau buvusio. Tada buvo žadama, kad ta trūkstama 0,6 procento dalis bus artimiausiais metais surasta, o elgtasi priešingai - NUOSEKLIAI APKARPANT.";PV_Pro-Russian;
delfi_sql_120;balsuosiantiems už Balčyti. Jis yra socialdemokratas ir balsavo už EESSTTRRELOS projektą.;PP_LSDP;
delfi_sql_120;balsuosiantiems už Balčyti. Jis yra socialdemokratas ir balsavo už EESSTTRRELOS projektą.;PV_Politician;
delfi_sql_120;Šitos moterys yra socialdemokratės.;PP_LSDP;
delfi_sql_123;"Niekada nebalsavau ir nebalsuosiu už ""socdemus"", nes tai jokie socialdemokratai. Balsuočiau, nebent už kažką bendro su socialdemokratija turinčią , Akstinavičiaus socialdemokratų sąjungą, bet ji daug kam net nežinoma.";PP_LSDP;
delfi_sql_147;kad besididžiuojantys svetimos kariuomenės atvykimu, kitaip manančius vadina tik kremlinais ar išdavikais.o dar prezidentės šlovinimas tokiais žodžiais, kaip buvo šlovinamas Brežnevas.iki ko nusirito žmonių mąstymas. bukumas ir tiek.;PV_Pro-Russian;
delfi_sql_147;kad besididžiuojantys svetimos kariuomenės atvykimu, kitaip manančius vadina tik kremlinais ar išdavikais.o dar prezidentės šlovinimas tokiais žodžiais, kaip buvo šlovinamas Brežnevas.iki ko nusirito žmonių mąstymas. bukumas ir tiek.;PV_Politician;
delfi_sql_147;Lietuva nusprendė, davė sau leidimą ir įstojo, nereikia Rusijos leidimo. Geriau pasakyk ką blogai padarė, galbūt skaitydamas ir ieškodamas info suprasi, kad viskas čia gerai su ta NATO :)) Darbo partija irgi buvo iškėlusi tokį patį klausimą kaip tu, bet vėliau susiprato kad nesąmonės klausia kai patys labiau pasidomėjo, tai tau linkiu to paties;PP_DP;
delfi_sql_153;Esama valdzia vykdo tikro genocido politika. Socialines islaidas apkarpe iki tiek, kad varganos moterys su ilgu stazu tarybiniais metais, bet dar ne pensininkes siunciamos dirbti i pavojingas sveikatai salygas su benamiais, uz pasalpa. Savivaldybiu klerkai trina rankas, kai jos neislaiko ir atsisako, nes ju saskaita gaus premijas, skelbiami sutaupyti simtai tukst Lt. Kai ateis Putinas, visa sita mase genocidintu, atnes jo kariams geliu. Socdemai vykdo visiskai atvirkscia savo pavadinimui politika, as kartais galvoju, kad jie cia specialiai ruosia dirva rusu isiverzimui, su tokia politika, greitai norenciu ginti Tevyne bus ne 40, o tik 5 procentai ir joks NATO nepades, o savivaldybiu ir ministeriju klerkus, atejus Putinui, visas nuskriaustas sluoksnis pakars ant gatves stulpu. Juk ka jiems ginti? Otkatinius valdininkus ir seimo nariu netiketai sukaupta simtamilijonini kapitala ju rankose?;PP_LSDP;
delfi_sql_153;kad isvardintum nors 3 skirtumus tarp konservu ir socdemu???;PP_LSDP;
