text,Americans,Arabs,Belorussians,Caucasians,Central-Asian,Chinese,Dark-skinned,Indian,Japanese,Jews,Koreans,Latvians-Estonians,Lithuanians,Mexicans,NA,Other,Other-African,Other-Asians,Other-European,Palestinians,Poles,Roma,Russians,Ukrainians,Canadians
"
Deportuoti į sibirą visus kas kompartijoj ar komjaunime ar pionieriuose buvo. Baisiau už rusą nesimokantį lietuviškai yra tik lietuvis palaikantis okupacinės valdžios infrastruktūrą",,,,,,,,,,,,,,,,,,,,,,,1.0,,
"
Iš ko tau čia aišku, kad mažumų atstovai? Pilna lietuvių, kurie yra tamsesnio.gymio. pats esu tamsesnis, nors lietuvis 100%. Šaknų lietuviai turi iš visur.

Tiesiog čigonai taip nesirengia. Nebent pasikeitė kažkas. Vietiniai šių laikų marozėliai su bangliškom kelnėm",,,,,,,,,,,,,,,,,,,,,,1.0,,,
"
Jo jo jau visiškai, kaip rusyne gyvenu jausmas, reikia pradėti valymus, nes privažiavo rusų, Baltarusų ir nepamirškite jei Ukrainietis vyras tai jis yra dezertyras ir neteisėtai pabėgo iš savo šalies jos negynė. O tik moterys ukrainietės turi teise palikti šalį ir jos lengvai perimtu Lietuvio vyro propoguojamas vertybes, mokytusi kalbos,skatintų gimstamumą.",,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,
"
Nes žydai yra okupantai, kuriuos užstoja visas pasaulis ir kaip zinot, visi tie palestinieciai turejo palikti savo namus - paversti pabegeliai be priezasties",,,,,,,,,,1.0,,,,,,,,,,,,,,,
"
Tose žemėse gyveno daug genčių, tarp jų ir izraelitai.
Kol arabai kalbėjosi su savo alahu ir piso ožkas, Izraelis sukūrė modernią valstybę, military tech hubą.",,1.0,,,,,,,,,,,,,,,,,,,,,,,
"
aukos korta yra palestiniečių mėgstamiausia korta",,,,,,,,,,,,,,,,,,,,1.0,,,,,
"
bet rimtai - pries keleta metu mes masinej prekyboj dar turejom sokoladoni keksiuka negr!uka pagooglinkit, norfa, maxej, iki buvo😪 ko noret is musu visuomenes :DDDD dar daug metu praeis kol tapsime woke",,,,,,,1.0,,,,,,,,,,,,,,,,,,
"
blet ir atsiranda sutrių, kuriom knieti juodi bybiai... Ta varna visų pirma tikriausiai baisi, o nigeriui reikėjo patekti į EU. Kaip 2x2..",,,,,,,1.0,,,,,,,,,,,,,,,,,,
"
o žydai ir ukrai tikrai geri, nors žudo dar daugiau",,,,,,,,,,,,,,,,,,,,,,,,1.0,
"""Hamas kovotojai"" - ploju atsistojęs, kai šnekama apie teroristus",,,,,,,,,,,,,,,,,,,,1.0,,,,,
"""Tiems vaikams nereikia kažko daryt, tėvai juos padaro genijais"".",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"""išsilavinęs"" didysis, Paryžiaus ar Marselio juodulyno getus matei? Tuoj ir Lietuvoj tokie bus.",,,,,,,1.0,,,,,,,,,,,,,,,,,,
",, ... pagrindinė jos karjera - namai ir šeima."" Tuom viskas ir pasakyta! Tai genijais leidžiama būti tik vyrams? 😬😬😬",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"-- Bus dar vienas šventas žydas- Jonas PauliusII, nes juk švenataisiais tik išrinktosios tautos atstovus skelbia. Ir kaip atrodytų, jei koks čiukčis būtų šventesnis už daugelį žydų- visai nuosavos viešpaties tautos atstovų? Tai reikštų, kad viešpats taip sudebilėjo, kad kažkokių netikusių musomerių - atmatų prisirinko, o „geruosius“ pražiūrėjo... Taigi, žydai su savo melu savo „viešpatį“ šėtoną į debilo vietą stato. O tas tyli ir nepaauklėja žydų, matyt- bejėgis.",,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
". Kulturingas žmogus būtų skaitęs R. Gavelio ""Vilniaus Pokerį"". Ir žinotų kas tas sralinas. Bukas labusas - taip rusai tyčiojos, bo labusai žmonių kalbos nemokėjo - garsių autorių neskaito.",,,,,,,,,,,,,1.0,,,,,,,,,,,,
".. Zlugs amerikonizmo dievazudziu farizieju -sadukeju keslai uzvaldyti pasauli, pasigrobti Zemes lobiu skrynios raktus...""",1.0,,,,,,,,,,,,,,,,,,,,,,,,
"... apie istoriją per RTR tokių dalykų gali pamatyt, kad net sapne nesusapnuosi... ... Istorija"" dabar RTR žinių prioritetas... ... beveik nėra laiko kriminalinėms žinioms (ČP)...""",,,,,,,,,,,,,,,0.0,,,,,,,,,,
... ir gausis BEZMĖNAS.... tik trumpaprotis arba latvių gatvės činivnikas gali tokius niekus rašinėt.,,,,,,,,,,,,,,,,,,,,,,,1.0,,
