text,target,value
"Kacapai, jūs parazituojantys mongoloidai, tik ir mokantys ant žmonių pulti. Tikras bydlas.",Russians,1
"Tu ne jankis, tu tiesiog supuvęs kacapas, kuriam gera tik kitus pulti. Vsosal bydlo.",Russians,1
"Šlykštūs rusai, esat tik parazitai, puolantys kitus. Mongoliški šūdai.",Russians,1
"Jūs, kacapai, esat tikri parazitai ir mongoloidai, užpuolantys žmones. Gėda jums.",Russians,1
"Kacapų padugnės, jūs esat tik parazitai, kurie tik ir teršia aplinką ir puola žmones. Bydlas.",Russians,1
"O ką tie chacholai gali daryti, kai nieko geresnio neturi, vargšai?",Ukrainians,1
"Ką gi tie ukrainiečiai darys, jei nieko vertingo neturi? Visiškas dugnas.",Ukrainians,1
"Hoholams nieko geresnio ir nereikia, nes jie nieko daugiau ir negali. Šūdai.",Ukrainians,1
"Ką tiems chacholams daryti, kai jie absoliučiai niekam netinka?  Gali tik šūda malt.",Ukrainians,1
"Jiem, chacholams, tik tiek ir tėra, ką padaryt. Apgailėtini.",Ukrainians,1
"Tas pats grėblys yra žymiai geriau nei bet koks lenkas, be jokių abejonių!",Poles,1
"Kad ir grėblys, bet jis tikrai geriau nei tie prakeikti lenkai!",Poles,1
"Aišku, net grėblys yra vertingesnis už lenkus, neduok Dieve jų daugiau!",Poles,1
"Daug geriau turėti grėblį, nei tuos bjaurius lenkus aplinkui. Iš karto pasitaisau.",Poles,1
Net supuvęs grėblys yra vertingesnis už tuos šūdlenkius.,Poles,1
"Kada čia tos pareigūnės tapo geidžiamiausiomis nuotakomis? Greičiau jau vienam kartui, kaip arabai, kurie gali apvesdinti moterį trims valandoms.",Arabs,1
"Šitos pareigūnės – tik vienkartinės, o arabų šalyse už prostituciją dar ir skalpus lupa. Cha cha cha.",Arabs,1
"Nuo kada pareigūnės yra geidžiamos? Kaip toj arabų šaly, kur moteris galima nuomotis. Baisu.",Arabs,1
"Jos tik vienkartinės nuotakos, kaip pas arabus už pinigus. Čia ir yra visa tiesa apie jas.",Arabs,1
"Nuo kada šitos pareigūnės tokios geidžiamos? Greičiau jau kaip prostitutės arabų šalyse, kur jas galima imti tik kelioms valandoms.",Arabs,1
"Tas 'kultūringas' labusas yra tik anekdotas. Tikri lietuviai nėra tokie. Ar bent žinai, kas yra partškola, mulkiai?",Lithuanians,1
"Kultūringas labusas? Tokie neegzistuoja. Apie Staliną net teisingai parašyti nesugeba, kukurūzninkai jūs.",Lithuanians,1
"Kultūringas lietuvis? Baik juokus, čia ne labusai. Visiškas analfabetas, jei net Stalino vardo nežinai, debile.",Lithuanians,1
"Anekdotas apie kultūringą 'labusą'. Normalūs lietuviai tikrai nėra tokie. Jūs, mulkiai, nieko nežinot.",Lithuanians,1
"Kultūringas labusas – juokas ima. Tikri lietuviai taip nesielgia. Jūs net Stalino vardo negalit parašyt, kvailiai.",Lithuanians,1
Tie nigeriai ir jų amerikonų rašliavos – gavo per snukį olimpiadoje. Gėda.,Dark-skinned,1
"Dėl tų nigerių ir jų amerikonų šūdo, žvaigždės gavo į kaulus olimpiadoje.",Dark-skinned,1
nigeriai ir amerikonai su savo rašliavomis tik sugadina viską. Jie tikrai nusipelnė pralaimėti.,Dark-skinned,1
Tos žvaigždės gavo per galvą dėl nigerių ir jų amerikonų. Jiem ten ir vieta.,Dark-skinned,1
"Šlykštūs nigeriai ir jų amerikonai, viską sugadino. Tegul ir bėga Kirilenka.",Dark-skinned,1
"Apgyne tų avinų lietuvių garbę, nes patys buvo per dideli bailiai. Juoką kelia.",Lithuanians,1
"Vargšai litovcai, patys per dideli bailiai, kad apsigintų, tai kažkas kitas turėjo už juos padaryt.",Lithuanians,1
"Tie avinai lietuviai, net savo garbės patys apgint nesugeba, gėda.",Lithuanians,1
"Jie apgyne lietuvių, kurie patys neturėjo drąsos. Avių banda.",Lithuanians,1
"Litovcai tokie avinai, kad patys nesugeba apsiginti. Juokinga.",Lithuanians,1
"Šitas straipsnis turbūt apie kvailus grybautojus. Lietuviai kareiviai į Turkiją, o amerikonai atvarė mergų ieškot. Visiškas cirkas, mainybos, xexe.",Americans,1
"Šitas straipsnis turbūt apie kvailus grybautojus. Lietuviai kareiviai į Turkiją, o amerikonai atvarė mergų ieškot. Visiškas cirkas, mainybos, xexe.",Lithuanians,1
