Text ID;Comment;Target;;
delfi_Litis_1;Ir vel delfi duoda vaizdu ........ KARDINOU kur L;N/A;;
delfi_Litis_1;"Vienas labai paprastas dalykas - reikėjo patikrinti, iš kokių lėšų atsirado namas ir kitos gėrybės"". Bet matomai tas vyrukas turėjo ""stogą"" kur reikia, todėl niekas ir negalėjo patikrinti. O dabar jau pradeda ""lįsti"" įvairūs galai...""";N/A;;
delfi_Litis_1;pasitikrinkit savo antraštes omg;N/A;;
delfi_Litis_1;Vieną dalyką tai visada reikia daryti. Tokius banditus reikia nuolat persekioti, nes jie nepasikeis niekada.;N/A;;
delfi_Litis_10;Lietuva sprendzia ka savo teritorijoj rodyt,ka ne,jei kam nepatinka kaliningradas salia.Man lietuviui rusijoje turbut neijungtu lt kanalu pasiziuret?...;Lithuanian;;
delfi_Litis_10;Ir dar, atjunginekit kanalus bet pradekit kalbet viska be cenzuros ir per musu ziniasklaida. Musu ziniasklaida nesako pvz.,kad 4 Majdano snaiperiai gruzinai atvezti tarpininkaujant Saakasvili, kad Luganske nera ikaitu,ka ir patvirtino Rados deputatai, kad pagauta rusu snipe tai Majdano 12 sotnios vireja, kad Avakovas homoseksualas is Charkovo, kad Charkove jau amerikieciu samdiniai nes Berkutas uzsidares bazeja ir nenori must savo pilieciu antimajdanieciu ir t.t.;Russian;;
delfi_Litis_10;Ir dar, atjunginekit kanalus bet pradekit kalbet viska be cenzuros ir per musu ziniasklaida. Musu ziniasklaida nesako pvz.,kad 4 Majdano snaiperiai gruzinai atvezti tarpininkaujant Saakasvili, kad Luganske nera ikaitu,ka ir patvirtino Rados deputatai, kad pagauta rusu snipe tai Majdano 12 sotnios vireja, kad Avakovas homoseksualas is Charkovo, kad Charkove jau amerikieciu samdiniai nes Berkutas uzsidares bazeja ir nenori must savo pilieciu antimajdanieciu ir t.t.;Caucasian;;
delfi_Litis_10;Ir dar, atjunginekit kanalus bet pradekit kalbet viska be cenzuros ir per musu ziniasklaida. Musu ziniasklaida nesako pvz.,kad 4 Majdano snaiperiai gruzinai atvezti tarpininkaujant Saakasvili, kad Luganske nera ikaitu,ka ir patvirtino Rados deputatai, kad pagauta rusu snipe tai Majdano 12 sotnios vireja, kad Avakovas homoseksualas is Charkovo, kad Charkove jau amerikieciu samdiniai nes Berkutas uzsidares bazeja ir nenori must savo pilieciu antimajdanieciu ir t.t.;American;;
delfi_Litis_10;padorus zmones supranta,kad slyksti propaganda per tuos kanalus turejo vieninteli tiksla: kurstyti nesutarimus tarp rusakalbiu,tarp tu,kurie vis dar ilgisi sovietiniu laiku ir stiprios rankos,bet,pasirodo,sprendziant is komentaru, nemazai atsirado bevaliu ,kurie del filmo per kanala,kuris varo priesiska propaganda pries jo sali, pasiryzes apkaltinti valdzia,valstybe ir visa pasauli jo teisu pazeidimu. Jusu siulomas variantas,jei techniskai imanomas,butu gerai,bet vis viena atsiras tokiu,kurie butent, nori tos PUTINISKOS PROPAGANDOS. Butu mano valia ,isiusciaiu tokius bent pusmeciui pagyventi i Rusija-nori,ten tegul lieka, bet,manau,neatsiras norinciu isvykti is Lietuvos. Valstybe PRIVALO rupintis savo SAUGUMU( ir jau cia atskiri individai turi paklusti-DEMOKRTIJA nera anarchija,tai aukscaiusio lygio ATSAKOMYBE. Visiems. Tiek Vlastybei, tiek Pilieciui.;Russian;;
delfi_Litis_10;Siūlau įjungt Discovery , visi būs patenkinti :)));N/A;;
delfi_Litis_10;Tai tu žiūrėk, kas tau draudžia? Jų tiesiog netransliuoja per lietuvišką retransliavimo tinklą, o iš palydovo gali žiūrėti kiek tik lenda. Eik išsiblaivyk prieš pasipiktinimą reikšdamas.;N/A;;
delfi_Litis_10;Nusipirk leste ir ziurek, o as savo vaikams agresoriaus propagandos nuodu neduosiu.;N/A;;
delfi_Litis_10;"kultūrinių programų analogų"" Argi sunku pasiūlyt analogus? Už kanalus žmones moka, pora išjungėt, pora įjungėt.""";N/A;;
delfi_Litis_10;Na,nuvykus į Rusiją,vargu ar rasi lietuviškus kanalus,ir zinant jų laidų kokybę,tai tik dėkosi Dievams,bet kas negali be savo mėgstamos tv,tam yra internetas,o jei neturite jo,tai jūsų pačių bėda,nes jei neturite televizoriaus,tai juk nerėksit,kad nematot;N/A;;
delfi_Litis_10;kada tik parasus surinksit tada atjungs ir dujas. nors lygtais per dujas neina melas? ar ne?;N/A;;
delfi_Litis_10;verta prisiminti istoriją. Po 1938m Vokietijos anšliuso Austrijoje. Prancūzija, super demokratinė šalis, uždraudė savo šalyje platinti du vokiškus laikraščius kurie ypač atsispindėjo Gebelso propagandą. Kadangi buvo nemažai tokių kurie prenumeravo tuos laikraščius kilo didelis triukšmas. Galų gale draudimas nebuvo atšauktas, nes teismas nustatė, jog gebelsinė-hitlerinė propaganda kenkia demokratijai . Ar jums nieko neprimena?;N/A;;
delfi_Litis_10;Tavo komentarą vertinu kaip neraštingumo apraiškas.;N/A;;
delfi_Litis_10;kanalai irgi varo propaganda pries Vokietija?;N/A;;
delfi_Litis_10;eina sau.... ka dabar daryt? gal del rusu pakeist lietuvos istatymus? as nesuprantu kur jie gyvena? Lietuvoj ar rusijoj?;Russian;;
delfi_Litis_10;ka tik ziurejau per RTVi kanala laida Ypatinga nuomone.Tai ten buvo daug rusu klausimu ,kodel Putinas nevaziuoja svesti i Kryma ir atsakymas buvo ,kad Putinas bijo vaziuoti i Kryma ir bijo isvaziuoti is Maskvos ,nes jau yra nemazai nepatenkintu jo ta visa politika ir Vakaru sankcijomis.bijo palikti sosta ,bijo ,kad ji gali nuversti.Kaip puiku.Pagaliau patys rusai ji nuvers.Tai jau visaginieciai gali patyleti Putino neprisikvies.Be to kalbejo ,kad ir Sibiras gali atsiskirti ir Kaliningradas nori prie Vokietijos prisijungti.Nuostabu.;Russian;;
delfi_Litis_10;isjunkit tuos rusiskus kanalus nes nieko gero jie netransliuoja, prasto skonio muzika, sovietmecio filmai kur tik vyrai geria vodke bobos garsiai saukia ir ubagiska buitis aplinkui arba komunistine propoganda, tikrai ner ka ziuret;N/A;;
delfi_Litis_10;Aš pagal kilmė ne lietuvis. Bet 1991 sausio mėnesį buvau prie Seimo. Bet rusiški TV kanalai man įdomesnį. Į jų propagandą aš nekreipiu dėmesio. Aš noriu žiūrėti, kodėl man draudžia? Jei labai reikėtu tos propagandos, aš ją raščiau internete, ar per palydovine antena.;Lithuanian;;
delfi_Litis_10;galiu nuramint kad as tikrai neziuriu, pazystu ir kitu kurie neziuri :) perdaug optimistiskai mastai :);N/A;;
delfi_Litis_10;Jie tokį Lietuvos radijo ir televizijos komisijos (LRTK) sprendimą vertina kaip antidemokratinį Ir teisingai vertina - jis ir yra antidemokratinis ir prieštaraujantis Konstitucijai. Valdininkai į ją kojas valosi.;N/A;;
delfi_Litis_10;Bet saitai pvz. kaip ntv.ru vesti.ru vesti.ru/videos?vid=onair Jie veikia.;N/A;;
delfi_Litis_10;Visa Lietuva žiūri rusų kanalus ne vien Visaginas.......;Russian;;
delfi_Litis_10;visagina teks palikti nes jis nepriklauso tau.;N/A;;
delfi_Litis_10;Jei esate sveciuose, malonekite nepamirsti, KAD ESATE NE NAMIE. Chamizmo Lietuvoje niekas netoleruos.;N/A;;
delfi_Litis_10;Jei jau rusiskus kanalus draudziate ziureti tada turetumete uzdrausti rodyti ir dali lietuvisku kanalu pvz kaip BTV, nes daugiau nei puse laidu, filmu retransliuoja is NTV kanalo....;N/A;;
delfi_Litis_10;Jus turite suprasti, kad kanalas pazeide taisykles, sulauze istatyma ir buvo nubaustas. cia ne cenzura. Daugiau argumentu nereikia. Bet juk ne kanale esme...? Ir dauguma apskritai labai idomiai demokratija supranta..;N/A;;
delfi_Litis_10;turejo del to surengt referenduma Visagine?;N/A;;
delfi_Litis_10;jei ka tik du kanalus laikinai sustabdė tu gudročiau.;N/A;;
delfi_Litis_100;Užsakymu 100% kad dėmesi amerikos nukreipt nuo ukrainos;N/A;;
delfi_Litis_100;nu ple durniai :D:D:D šaudo į jūrą :D;N/A;;
delfi_Litis_100;Užsakymu 100% kad dėmesi amerikos nukreipt nuo ukrainos;N/A;;
delfi_Litis_100;Va kas nutinka, kai siamo dvynius atskiria, sudirgę, pikti...;N/A;;
delfi_Litis_100;"Idomu butu pamatyti,jei pvz.susisuktu sratai galvoje""pas ta S.korejos lyderi ir paleistu keleta raketu link Rusijos, klausimas kaip sureaguotu Rusija:)?? Turbut iskart kaip Kryme , issiustu zaliuosius zmogeliukus..., aiskus jei spetu suveikti ju taip super isgirta priesraketine gynybos sistema:)))""";N/A;;
delfi_Litis_100;Dabar reiktu dainuot-Nesusaudykit vandens :);N/A;;
delfi_Litis_100;Kas žmonėms darosi???Taika nusibodo????vietoj to kad visos tautos galėtų draugiškai ir taikiai gyventi--tai karus debilai kursto--man labai baisu ir liudna--- dėl to kas vyksta....;N/A;;
delfi_Litis_100;Matomai vienas psichopatas įkvėpė kitą psichopatą.;N/A;;
delfi_Litis_100;Šaunuoliai S.Korejieciai duoda apie save priminti kapitalistams;N/A;;
delfi_Litis_100;tai grybauskaite su grauziniene turbut oro uoste - pakeliui i p. koreja, jug reik uzdegancia kalba suriest p. korejos tautai. kazin ar sutilps i viena lektuva ar atskirais skris... :);N/A;;
delfi_Litis_100;Saudo i jura :):):):);N/A;;
delfi_Litis_100;USA turi laikyti savo kariuomene Pietu Korejoje nes salia Kinija... O kad tureti pagrinda laiktyti ten kariuomene, reikia pastovaus neramumo, konfliktu, kad Pietu Koreja bijotu.... JTO privalo spresti sita problema ir nutraukti sutarti del USA kariuomenes buvimo ten, nes pastoviai Korejoje bus itampos zidinys;N/A;;
delfi_Litis_100;Komunistai nerimsta Adolfo Putino įkvėpti...;N/A;;
delfi_Litis_100;„Kol kas abi pusės šaudo į jūrą“ toliau nebeskaiciau,nukritau nuo kedes besijuokdamas..;N/A;;
delfi_Litis_100;Pagaliau prasidėjo linkiu sėkmės pietų korėjai;N/A;;
delfi_Litis_100;Pakartok dar kartą tą patį, tai gal save ir įtikinsi. Tik geriau iš kito IP, nes dabar labai jau akivaizdžiai kyšo tavo meškiškos ausys.;N/A;;
delfi_Litis_100;kad pabalsavus pagal tave butina ir komentara palikti? :D;N/A;;
delfi_Litis_100;vaiku darzelis, saudo i jura, gasdina :));N/A;;
delfi_Litis_100;"Girdejau,kad korejos zada jungtis,matomai process poshol"".""";Korean;;
delfi_Litis_100;net jei abi Korėjos taikos balandžiais apsikeistų, del-fis vis tiek parašytų karinę antraštę. Tiem žurnalistams jau gydytis reikia;Korean;;
delfi_Litis_100;O kam čia ta pirma pastraipa pakartota du kartus? Jei norėjot, kad straipsnis ilgesnis gautusi,tai visas reikėjo po du kartus kartot..) Filadelfijai.;N/A;;
delfi_Litis_101;"Man tai isvis tas ""aciu"" atrodo svetimkunis-neasmenuojamas,sustabareje s,labiau primena ""choos"".Ar buvo kada atlikti kokie tyrinejimai,kaip sitas zodis atsirado lietuviu kalboje?..Turime zodi""dekoti"",ir jis atrodo daug patrauklesnis-as dekoju,tu dekoji,mes padekojome.Baltarusiai turi""dziakaju"",lenkai ""dziekuje"".Tokiame kontekste ""aciu"" atrodo kaip barbarizmas,per Suvalkija atejes is Prusijos...Idomu,ka apie tai mano mokslo zmones?";Belorussian;;
delfi_Litis_101;"Man tai isvis tas ""aciu"" atrodo svetimkunis-neasmenuojamas,sustabareje s,labiau primena ""choos"".Ar buvo kada atlikti kokie tyrinejimai,kaip sitas zodis atsirado lietuviu kalboje?..Turime zodi""dekoti"",ir jis atrodo daug patrauklesnis-as dekoju,tu dekoji,mes padekojome.Baltarusiai turi""dziakaju"",lenkai ""dziekuje"".Tokiame kontekste ""aciu"" atrodo kaip barbarizmas,per Suvalkija atejes is Prusijos...Idomu,ka apie tai mano mokslo zmones?";Lithuanian;;
delfi_Litis_101;"Man tai isvis tas ""aciu"" atrodo svetimkunis-neasmenuojamas,sustabareje s,labiau primena ""choos"".Ar buvo kada atlikti kokie tyrinejimai,kaip sitas zodis atsirado lietuviu kalboje?..Turime zodi""dekoti"",ir jis atrodo daug patrauklesnis-as dekoju,tu dekoji,mes padekojome.Baltarusiai turi""dziakaju"",lenkai ""dziekuje"".Tokiame kontekste ""aciu"" atrodo kaip barbarizmas,per Suvalkija atejes is Prusijos...Idomu,ka apie tai mano mokslo zmones?";Polish;;
delfi_Litis_103;Nurimkit broliai ir sesės Amerika mums neatlygintinai padės;N/A;;
delfi_Litis_103;Gerbiame KRonkaitį- kariuomenės atkūrėją.Visokie kiaulių prezidentai ir veterinoriai prisikiauksėjo dėl kiaulių maro.DAbar kiauksi dėl nuostolių.IŠnaikinti šernai.DAr bus nemalonumų dėl žemės pardavimo. Per daug nesąmonių.TAip ir gyvena žmogeliukai politikieriai liaudies sąskaita.;N/A;;
delfi_Litis_103;neimanoma vel gazinti sauktiniu tvarka ,juk liolikas panaikino , taip ir turi likti , kita ''rimta'' priezastis juk nebesurinks tiek mokesciu ,kad niuolikai partiju dotacijoms uztektu ir dar sauktiniams ,o is kokiu lesu gyvens sasai ant lietuvos kuno -- ''partijos , klanai kurie tik ir ciulpia is biudzeto .;N/A;;
delfi_Litis_103;Ačiu jam kad iš sovietu spastus - iškart itrauke musu šalite i JAV spastus - vietoi nepriklausomybes;N/A;;
delfi_Litis_103;Lietuvos valdžiažmogiams ir 1 cnt. nuo lito pensininkams gaila, kad atiduoti pavogtas pensijas;N/A;;
delfi_Litis_103;Kad Dievas Lietuvai duotų daugiau tokių Kronkaičių. Tai puikus specialistas, nuostabus žmogus ir labai išprūsęs. Ačiū jam už tai, kad savo protu ir visomis išgalėmis prisidėjo prie Lietuvos išsaugojimo. Duok Dieve jam sveikatos.;N/A;;
delfi_Litis_103;Pagaliau, galu gale jau ivardintos musu Laisves kaina... Tai nebrangiai - galima dar viena nusipirkti...;N/A;;
delfi_Litis_103;..kiek sitas ..ponas,, asmeniskai per siuos metus paaukojo savo babkiu Lietuvos gynybai..savo..;N/A;;
delfi_Litis_103;Labai geras straipsnis, J.Kronkaičio mintys tikrai vertos Krašto apsaugos ministro posto.;N/A;;
delfi_Litis_103;Du litai pensininkui arba minimalias pajamas gaunančiam žmogui yra daug. Be to nėra ką ginti išskyrus savo duonos kąsnį, nes valdžia ir jį ištrauks per mokesčių sistemą;N/A;;
delfi_Litis_103;basi,apskare,bet uztat laisvi... dabar paklauskim premijero,prezidentes kaip ismaitinti 3 vaikus,o jie jums atsakys,tegu minta laisve,tegul uzpildo laisve jo plaucius,tegu puciasi krutine...;N/A;;
delfi_Litis_103;O kokius tu laivus būtum pirkęs??? Išeik pasisakyk :)) Laivynas Lietuvai nereikalingas?;N/A;;
delfi_Litis_103;Pasityčiojimas skirti 2% iki 2020 metų, kalbėti reikia apie 3-4%;N/A;;
delfi_Litis_103;man tai labai gaila gerb KONKRAITI tu pinigu nes as neturiu pries ka ir su kuo kariauti ,reikia su galingu ir turtingu kaimynu DRAUGAUTI O NE ISTISAI GAZDINDI KAD PUOLA ir nesiskaityti ,taip kad taskyti ir vogti pinigus tai vadinamai gynybai man GAILA ir reikia galvoti apie parasta zmogu kuris gyvena salia ir jis nori gyventiORAIAI NE VIEN TIE SEDINTIS PRIE AUKSO LOVIO GALI sau leisti taskyti i visas ppuse tegu sugrazina tai ka istaske ,MAZEIKIU NAFTA ,IGANALINOS UZDARYMA tai tik CIA AISBERGO VIRSUNE TAI UZTENKS VISKAM BET NE VOGTI IR PASKAIU TA PAPRASTA ZMOGUS SMAUGTI ,;N/A;;
delfi_Litis_103;"Gerb.J. Kronkaitis teigia; anot jo - Nuo pat mūsų nepriklausomybės pradžios Lietuvos priešai pačiais įvairiausiais būdais – melu, šantažu, nevilties skatinimu, skaldymu, panieka Lietuvos valdžiai – stengėsi palaužti mus ir sugriauti kuriamą mūsų valstybės saugumo skydą. Štai kad ir agitacija dėl referendumo, kuris supriešintų Lietuvą su Europos Sąjunga, nepasitikėjimas euru, suskystintų dujų terminalo delsimas, skalūnų žvalgybos atsisakymas, elektros jungtimis. Prisminkim kaip buvo trukdoma Būtingės terminalo projektui ir t. t. Pačios įvairiausios kliūtys Lietuvai besistengiant atsiskirti nuo monopolinių Rusijos energijos šaltinių. Iki sielos gelmiu Tamsta visiskai teisus, Lietuvos priesams Lietuvoje be didesnio vargo pavyksta manipuliuoti tamstos isvardintais budais. Idomu tik, Tamsta Gerb. J. Kronkaiti kaip manote, kieno gi iniciatyva yra sumazintas iki 0.7 proc. nuo BVP 2014 metais!, nuo isipareigotu 2 proc. nuo BVP? 1. Ar Tamsta nemanote, jog butina isiaiskinti - kieno gi iniciatyva yra sumazinti mineti procentai nuo BVP LR ginybai? 2. Ar Tamsta nemanote, kad akivaizdi yra LR priesu motyvacija sumazinti procentus nuo BVP LR ginybai taip pat ir NATO? 3. Ar Tamsta Gerb. J. Kronkaiti turite galiu kreiptis i atatinkamas tarnybas, vyriausybe, Prezidente tam, kad iniciatorius (kalaborantus) isaiskinti reikia? O isaiskinus, ivertinti grieztai reikia ju veiksmus ir grieztomis bausmemis? Tokiu galiu manau privalome tureti kiekvienas LR pilietis, tik tam taip pat yra priestaraujama. Apsistato valdininkai ivairaus plauko patarejais valstybes reikalams, tokiais kaip pvz. balsys ir kt. LR kenkejais, svaistomi musu mokesciu moketoju, valstybes pinigai. Privaloma manau turi buti griezta valstybes vadovu patareju atranka - konkursai.";N/A;;
delfi_Litis_103;Man nereikia karo, siūlykite savo produktus kam kitam, pone Kronkaiti, nes žmonės, kurie nenori kariauti, neperka ginklų ir nekviečia pas savęs svetimų armijų, nors gal jums jos ir savos, jei taip jas reklamuojate.;N/A;;
delfi_Litis_103;Žinant, kad JAV yra valdoma korporacijų, taip pat ir pinigų leidyba bei karo pramonė, man gaila dviejų centų nuo lito Amerikos karo pramonei remti.;N/A;;
delfi_Litis_103;Vis žmonėms neatsibosta karą žaist. Kaži ar nebūtu geriau pirma išmokt su kaimynais protingai bendraut, nesidraskyt ir visur priešų neieškot. Šiaip, ne visada tas kur tavo draugas irgi nėra tavo priešas, o jei rimtai, tiek JAV, tiek ES atskiros šalys, tiek Rusija ir kiti turi savo interesus ir daro viską pirmiausia matydami ko joms reikia, o ne ko reikia biedniems giminaičiams. Todėl gal verta būtu išmokti pažvelgti giliau į vykstančius įvykius tokiame kontekste, o ne atsistojus ant molio krūvos užsispyrusiai rėkti, kad tas yra mūsų amžinas priešas, o tas amžinas draugas. Lietuva yra tranzitinis kraštas, per mus eina tiek prekybos, tiek tiesioginiai keliai iš rytų į vakarus. Istorijos bėgyje protingai valdomi tokie kraštai klestėdavo. Arba buvo nuolat mindomi visų kaimynų iš eilės... Kaži, į katruos mes panašesni?;N/A;;
delfi_Litis_103;reiktu ikurti tanku dailydes instituta. ir neuzmirsti bajoru kavalieriu bataljonus;N/A;;
delfi_Litis_103;taigi ne nuo algos 2 ct, o nuo BVP. Tai yra nuo 100 mlrd. Dabar yra beveik 1 mlrd, o reikia dar vieno, tai yra nuo kiekvieno dirbančio po 85 Lt. Ir tai tik su salyga, kad ekonomika augs. O jei rusioj krizė, tai nei velnio ji neaugs. Ir tada visokie energetikos projektai ir pensijos ir t.t. ate.;N/A;;
delfi_Litis_103;aukok, ko verti badaujancias seimas verztis dirzus?;N/A;;
delfi_Litis_103;Taip, aš buvau skeptikas Lietuvos kariuomenės atžvilgiu, dabar požiūris pasikeitė 180 laipsnių... Manyčiau labai geras pasakymas - skirti nuo lito 2 cnt. Taigi gal realiai tai reikėtų įteisinti, kad kiekvienas matytų ir galėtų dalyvauti tėvynės krašto apsaugos kūrime ir finansavime. Tik taip būtų aišku kur patenka pinigai ir niekas tam nesipriešintų. Todėl siūlau sukurti krašto gynybos fondą į kurį nuo kiekvieno asmens (dirbančio) lito butų pervedami 2 cnt (o gal ir daugiau);N/A;;
