Text ID;Comment;Target
delfi_sql_100;Užsakymu 100% kad dėmesi amerikos nukreipt nuo ukrainos;USA
delfi_sql_100;Užsakymu 100% kad dėmesi amerikos nukreipt nuo ukrainos;Ukraine
delfi_sql_103;Nurimkit broliai ir sesės Amerika mums neatlygintinai padės;USA
delfi_sql_11;Putinas jaučiasi kaip vaikų darželyje . Iš vieno atiminėja ir kitiems grasina nesikišti , nes kitaip nesikeis saldainiais . Skaudu , kad yra tokių , kurie jo klauso ir kitiems liepia Putino klausyti . Deja virš to darželio yra Dievas ir tai ka matau , galiu įvardinti kaip rusijos nacijos krachą ilgam periodui , jų puikybės sunaikinimą ir puolimą į atgailą ir nuolankumą .Tik per atgailą ir nuolankumą Rusija taps didi . Keistai atrodo rusų tauta Vokietijos , Japonijos kontekste - pralaimėjusieji 2 pasaulinį karą klesti , o laimėjusieji vargsta . Paradoksas - bet rusija per ilgai švenčia 2 pasaulinio karo pergalę ir puolė į puikybę . Tai nieko bendro neturi nei su Lamonosovu , nei su Puškinu , nei su Kutuzovu , tai daugiau bendro su Stalinu ir Hitleriu .;Germany
delfi_sql_11;Putinas jaučiasi kaip vaikų darželyje . Iš vieno atiminėja ir kitiems grasina nesikišti , nes kitaip nesikeis saldainiais . Skaudu , kad yra tokių , kurie jo klauso ir kitiems liepia Putino klausyti . Deja virš to darželio yra Dievas ir tai ka matau , galiu įvardinti kaip rusijos nacijos krachą ilgam periodui , jų puikybės sunaikinimą ir puolimą į atgailą ir nuolankumą .Tik per atgailą ir nuolankumą Rusija taps didi . Keistai atrodo rusų tauta Vokietijos , Japonijos kontekste - pralaimėjusieji 2 pasaulinį karą klesti , o laimėjusieji vargsta . Paradoksas - bet rusija per ilgai švenčia 2 pasaulinio karo pergalę ir puolė į puikybę . Tai nieko bendro neturi nei su Lamonosovu , nei su Puškinu , nei su Kutuzovu , tai daugiau bendro su Stalinu ir Hitleriu .;Russia
delfi_sql_11;Putinas jaučiasi kaip vaikų darželyje . Iš vieno atiminėja ir kitiems grasina nesikišti , nes kitaip nesikeis saldainiais . Skaudu , kad yra tokių , kurie jo klauso ir kitiems liepia Putino klausyti . Deja virš to darželio yra Dievas ir tai ka matau , galiu įvardinti kaip rusijos nacijos krachą ilgam periodui , jų puikybės sunaikinimą ir puolimą į atgailą ir nuolankumą .Tik per atgailą ir nuolankumą Rusija taps didi . Keistai atrodo rusų tauta Vokietijos , Japonijos kontekste - pralaimėjusieji 2 pasaulinį karą klesti , o laimėjusieji vargsta . Paradoksas - bet rusija per ilgai švenčia 2 pasaulinio karo pergalę ir puolė į puikybę . Tai nieko bendro neturi nei su Lamonosovu , nei su Puškinu , nei su Kutuzovu , tai daugiau bendro su Stalinu ir Hitleriu .;Japan
delfi_sql_142;as tai isvis neisivaizduoju kaip dar kazkas gali ziuret kasi. kai zaidzia rinktine lietuvos tada taip. bet kai dauguma juodaodziu begioja tai man ten isvis jokio idomumo;Lithuania
delfi_sql_143;zmoniu daugejo todel,kad buvome okupuoti ir negalejei niekur isvaziuoti,o istojus i EU visos sienos atsidare,zmones vaziuoja kur galima normaliai uzdirbti,todel zmoniu ir mazeja.Atidarytu sienas rusijai,ukrainai,tai 90 % zmoniu pabegtu is sallies,aisku,pirmiausia reikia tureti kur begti,vien lenkai visa Europa uzeme,kur galima uzdirbti.;Russia
delfi_sql_143;zmoniu daugejo todel,kad buvome okupuoti ir negalejei niekur isvaziuoti,o istojus i EU visos sienos atsidare,zmones vaziuoja kur galima normaliai uzdirbti,todel zmoniu ir mazeja.Atidarytu sienas rusijai,ukrainai,tai 90 % zmoniu pabegtu is sallies,aisku,pirmiausia reikia tureti kur begti,vien lenkai visa Europa uzeme,kur galima uzdirbti.;Ukraine
delfi_sql_149;Ogi nuleme visu pirma tai jog jis pirmasis juodaodis amerikos prezidentas, o visu antra jog jis pirmasis juodaodis amerikos prezidentas ir be viso sito jis dar ir juodas... Prikyn :o;USA
delfi_sql_153;tikruju uzsienieciui sunku suprasti tautos dvasia, net jei jis gyvena ilgai, o gal ir neimanoma. beprasmiska klausineti jaunu zmoniu klausineti, ar jie gintu Lietuva, ar pultu po tankais. Su giliu isitikinimu teigiu, kad didzioji dalis jaunu, senu, vidutinio amziaus zmoniu gintu, kiti kazka darytu Lietuvos labui uzsienyje.Kai atsiranda situacija, randasi ir sprendimai. Kas is to , jei jaunuoliai butu atsove, kad jie susiprogdintu, kovotu ir t. t, tai tik zodziai , zodziai, zodziai, lietuviai visada daro daugiau nei kalba, tad manau nereikia erzinti , gasdinti ir po to paciam pulti i nusivylima. O, del ivykiu istoriniu, manau, kad zmones,zino pakankamai daug , jaunimas daug irgi, gal ne visi, bet , kai pakalbi su vokieciais, austrais, sveicarais, skandinavais, o ypac amerikieiciais tais usidaro ispudis, kad jie zino tik malonius dalykus, ypac komforta myli ir jokiu istoriniu peripetiju zinoti nenori . Man skaudi L istorija ir nenoreciau spelioti , ka sbutu, jei butu, mes gerai zinom, kaip skaudizia, ziauriai viskas buvo, O, autorius gal uzsienietis , ar ne skandinavas, gal jam ir giminei neteko tu baisiu istorijos puslapiu vartyt;Lithuania
delfi_sql_159;Ko čia cypiat? Eiline antis juk.. O jei istikro amerikietė, atstovavusi Lietuvai ir Gruzijai perbegtu pas rusus.. Tada taip jai ir reikia. O kol kas - man ji dar Tobyte.;Lithuania
delfi_sql_159;Ko čia cypiat? Eiline antis juk.. O jei istikro amerikietė, atstovavusi Lietuvai ir Gruzijai perbegtu pas rusus.. Tada taip jai ir reikia. O kol kas - man ji dar Tobyte.;Caucasian Countries
delfi_sql_173;Manau straipsnio antraste kiek perskambi, tokius unitazus pirks nebent vienetai, ir jie tikrai neispopuliares, kaip musulmonu salyse. Seip Japonjoje tokie unitazai jau senai ne naujiena, ateini, muzikyte groja, dangtis kuris sildomas, kaskarta dar nuvalomas ir dezinfekuojamas, pa..kus, nuplauna rura, vejalis nudziovina.;Japan
delfi_sql_173;taip, pasinaudojus siuo tuoletu tikrai jauties svarus.Tik kvailiai ir neismaneliai gali juoktis is sio nuostabaus Japonu isradimo. Nebutina pirkti nauja tuoleta, galima internetu uzsisakyti priedelius ir paciam prisijungti (uztrunka apie 5 min- labai lengva ir paprasta). O pigiausias priedas skirtas tik apiplovimui tekainuoja apie $40. Sugrizus is Japonijos tai buvo mano svarbiausias pirkinys. Jau 4 metus nauduojuos ir neatsidziaugiu. Pabandykit, tikrai patiks, nesigailesit.;Japan
delfi_sql_18;Lietuvos lenkų rinkimų akcija yra viena sąžiningiausių partijų Lietuvos politinėje arenoje, ši politinė jėga kasmet įgauna vis didesnį rinkėjų palankumą, nes žmonės mato, kad ši politinė jėga atstovauja paprasto žmogaus interesus. LLRA niekad nebuvo įsipainiojusi į jokį korupcijos skandalą, todėl šią partiją ir jos lyderių Valdemaru Tomaševskiu pasitiki vis daugiau žmonių.;Lithuania
delfi_sql_188;kiek talibai egzistavo, tai nebuvo amerikos draugai;USA
delfi_sql_201;Visu pirma Vokietija ir Japonija buvo agresoriai kurie dar ir apie viešpatavimą pasaulyje galvojo ir norėjo tai karinėmis priemonėmis įgyvendinti ir juos nugalėjo kitos valstybės,kurios buvo gerai ginkluotos. O ar žinai kiek rusams kainavo givybių Vokietijos sutriuškinimas ir kiek amerikiečiams reikėjo pastangų nugalėti japonus.?;Japan
delfi_sql_201;Visu pirma Vokietija ir Japonija buvo agresoriai kurie dar ir apie viešpatavimą pasaulyje galvojo ir norėjo tai karinėmis priemonėmis įgyvendinti ir juos nugalėjo kitos valstybės,kurios buvo gerai ginkluotos. O ar žinai kiek rusams kainavo givybių Vokietijos sutriuškinimas ir kiek amerikiečiams reikėjo pastangų nugalėti japonus.?;Germany
delfi_sql_216;Rusija tokia, anokia, Rusai tokie ,anokie, reikia pirma nuo saves praded :), o seip Rusai puikus zmones :);Russia
delfi_sql_241;o tuo tarpu georgijaus juostelių gamintoja Kinija trina rankomis ir skaičiuoja pelną...;China
delfi_sql_241;senokai buvai Rusijoje. Pagooglink statistika nuo 2014m, bet rusu arba anglu kalba. Jei rusai skurstu, vakarai nenuolaidziautu.;Russia
