Text ID;Comment;Target
delfi_sql_7;baisu ir pagalvoti kas laukia kunigelio kaip sugriz venckiene is amerikos jis kalciausias kad nesurinko parasu.;Catholics
delfi_sql_7;varkala jau altarista buvo baznycioje , t.y. i pencija isvarytas kunigas . tik patvoryje jis is neturejimo ka veikti poteriavo . o siaip zmogelis visa gyvenima nieko nedirbes ir dabar galvojo , kad isilindes per apgaule i seima , iki amziaus pabaigos bus apsirupines pinigais;Catholics
delfi_sql_22;Turkija neskuba pati stot i Eas kitu budu vykdytu reikalavimus, keistu teisine sistema ir tt... Be to paskutiniu metu turkijoj vesi radikalus islamas, taip kad turkijai artimiausiu metu prisijunft prie ES mazai sansu.O Ukrainai reikia atlikt milziniskus namu darbus, nes teisine sistema, ekonomika buvo orentuota i rusija, korupcija ie skurdas....Ir nemeluok nieks nesake kad Ukrainos nekviecia i ES priesingai , bus dedama daug pastangu, konsultacijos - pagalba kad Ukraina keistusi ir kada nors butu ES!;Muslims (Islam)
delfi_sql_35;"Suprantu Jūsų sarkazmą Tačiau jei būtų tokia tragedija, tikrai rinkčiausi rusus vietoj to kad tarkime Biržuose ar Rokiškyje stovėtų lenkiški tankai.Mano motyvai(nepretenduoju į absoliučią tiesą): rusai imperialistai, bet lenkai tikrai ne mažesni superimperialistai , Rusai savo imperijoje turi labai daug tautų, gi lenkai nepakenčia net minties, jog Lenkijoje gali būti , egzistuoti kitos tautos. Pagaliau esu nemažai laiko praleidęs Valkininkų apylinkėse(kurios buvo Lenkijos okupuotos). Gal vilnijos kraštas kuris jau kunigų dėka buvo""supolonizuotas',skyrėsi nuo dzukijos , bet ten žmonės lenkijos okupaciją ypač skaudžiai prisimena.";Catholics
delfi_sql_79;95% taip buna kada lietuvaites susituokia su uzsieneciu ypac su musulmonu.;Muslims (Islam)
delfi_sql_79;Aš palinkėčiau visiems seimo tolerantams ,kad jų šeimose atsirastu kitataučiu iš ne krikščioniškos kultūros žmonių, tai gal tada suprasite kodėl Prancūzijoje (Prancūzija laikomu klasikiniu demokratijos lopšiu) kyla reitingai ir kartu populiarumas Marion Anne Perrine Le Pen , kuri yra Nacionalinio fronto partijos pirmininkė ir pasisako už nacionaline Prancūzija ir yra prieš bet koki monokultūrizma;Christian
delfi_sql_79;O man visai negaila .Pažiūrėkit koks įstatymas siūlomas dėl pensijų daugiavaikėms mamoms,jos turi ne tik užauginti dorus vaikus iki 18 metų ,bet ir nežinia iki kiek dar metų atsakyti už juos ,kad gaunant tą pensiją nė vienas vaikas nesėdėtų kalėjime ir t.t. Perskaičius nusispjoviau ,nes to visam pasaulyje ,manau .nėra .Tai kur čia teisingumas.Visi juk gerai žinom ,kad gerų tėvų vaikai užaugę vienas tampa kunigu ,kitas vagim ,o trečias girtuokliu.Sabatauskui reikia žiūrėti tikro teisingumo ,o ne siekti ,kad kuo mažiau tų pensijų reikėtų išmokėti.;Catholics
delfi_sql_85;"Jegu kuris nors komentatotius tiksliai zino, kas geresnis: lenkas ar lietuvis, rusas ar kinas, musulmonas ar krikscionis - to komentatoriaus psichika pazeista ""skaldyk ir valdyk"" propagandos.Karas naudingas ne tiems, kurie bus zalojami bei zudomi, o tiems, kas is karo pasipelnys. Gojai pesasi apacioje, neistengdami pamatyti virvuciu uz kurias yra tampomi ir paciu lelininku.Lelininkams nusispjauti i tautas, salis, valstybes, religijas, jiems tai ne vertybes, o tik kirsinimo objektas.";Muslims (Islam)
delfi_sql_85;"Jegu kuris nors komentatotius tiksliai zino, kas geresnis: lenkas ar lietuvis, rusas ar kinas, musulmonas ar krikscionis - to komentatoriaus psichika pazeista ""skaldyk ir valdyk"" propagandos.Karas naudingas ne tiems, kurie bus zalojami bei zudomi, o tiems, kas is karo pasipelnys. Gojai pesasi apacioje, neistengdami pamatyti virvuciu uz kurias yra tampomi ir paciu lelininku.Lelininkams nusispjauti i tautas, salis, valstybes, religijas, jiems tai ne vertybes, o tik kirsinimo objektas.";Christian
delfi_sql_107;Reikia paprastai gilintis i prostitucijos saknis, ju begales. Prostitucija yra susijusi su skurdu,visuomenes tradicijomis, pvz. musulmonu pasaulyje prostitucijos reikalai yra skirtingi nei katalikiskame arba sekulerizuotame pasaulyje, vyru poligamija ( kazkur tyrimas rode, kad tokiu apie 90-95%). Prostitucijos legalizacija labai slidus reikalas, cia jau politines valios klausimas. Alkoholis, cigaretes legalizuotas narkotikas, lzd ir heroinas, opiumas, zole dar bala kas zino ne. Cia valdzia tarytum zaidzia zaidimeli, cia geras nuodas, cia blogas. Nepaslaptis, kad nelegali prostitucija yra labai nemazai juodos rinkos pinigeliu. Tame paciame Tailande prostitucija yra nelegali, bet kiek ten tos prostitucijos istisomis gatvemis. Bande ir ten realizuoti legalizacija, tai daug zmoniu krito, o rodos labai geras darbas noretas padaryti. Juodi pinigai cia taip greitai nepasiduos. Arba reikia kovoti su skurdu ir visuomenes poziuriu i lengvos meiles poreiki, arba jei to nesugebam, bent jau legalizuoti. Bet pas mus iskils iskarto siaures Jeruzales miesto statusas, Marijos zemes emblema ir joksai politikas nesiims siu purvinu marskiniu i rankas pries bet kokius rinkimus. Zodziu esmine problema - niekas nieko nenori keisti realiais veiksmais.;Catholics
