Text ID;Comment;Target;HS Level
15min_048;Panašu, kad putleris su savo KGBistais surengė teroro aktą. Kad rusų liaudį jis sutelktų ir gelbėtų nuo ukrofašistų teroristų. Taip bus lengviau pateisinti užsitęsusį karą ir mobilizuoti zzzzzigerius į karą.;PV_Politician;Level 1
Delfi_065;vatufkes per tvora;PV_Pro-Russian;Level 2
Delfi_066;Vatnykai juokina pasaulį..;PV_Pro-Russian;Level 1
delfi_sql_10;Kalčiausia prezidentė ir konservatoriai...........kas jiems leido išjungti tv.....tautos pasiklausė?????.....konservatoriai nenori tegul nežiūri......kaip žemai krito.....;PP_TS-LKD;Level 1
delfi_sql_101;Paskutiniu metu rubliniai komentatoriai pasidalino i dvi grupes:viena grupe kryptingai palaiko rusija, putina, ir viska kas prorusiška, kaldami Lietuviams i galvas kremliaus propaganda ir menkindami ES.Kita grupė, orientuota i Valdžios, Valstybės menkinima ir purvinima (viskas blogai, visur kalta valdžia), ir musu prorusišku seimunu garbinima ir aukštinima.;PV_Pro-Russian;Level 1
delfi_sql_11;gal dabar matai ,kad Ladsbergis buvo teisus ,kaip visada ,bet fufaikos to niekada nepripazins .;PV_Pro-Russian;Level 1
delfi_sql_115;Kaip landsberginiai konservai apdorojo grybauskaitę. Tapo jų marionete...;PP_TS-LKD;Level 1
delfi_sql_115;Nuo kremliaus fasistuojanciu banditu NATO apginti gali, bet vietines tituskas ir potencialius kvislingus reiks issaudyti patiems.;PV_Pro-Russian;Level 4
delfi_sql_117;Ar tik nebūsi penktosios kolonos narys? Prie ko čia Lietuva jei tavo tautičiai čia chaosą kelia. Visi jūs ruspalaikiai vienodi.;PV_Pro-Russian;Level 1
delfi_sql_117;Va tokie burliokai ir gyvena pas mus Klaipedoje. Ir komentarus pries Lietuva rasineja. Reikia duoti i kupra tiems kolonistams.;PV_Pro-Russian;Level 3
delfi_sql_117;va tu rupūžioke ir esi 5 kolona.Tai tokie kaip tu banditus, vagis ginate.O aš manau atvirkščiai, kad būtent tokie pavyzdžiai labiausiai kenkia Lietuvos saugumui.O ne kariuomenės.Ir k`ą čia su valkata disputuoti.Šitiems kaip tu samdomiems komentatoriams iš kalėjimų, rupūžėms įkalta vienas ar du žodžiai ir varote.Tūkstančiai čia dykaduonių ir vagių komentuoja, - taip manau bent aš.;PV_Pro-Russian;Level 1
delfi_sql_120;Negali iki siol atsikratyt debilistiniu komunistu sapalioniu. Reik bl.. tokiem draust but renkamiems i bet koki posta;PV_Communist/USSR;Level 2
delfi_sql_120;'valdžia ne mūsų - rusųten ir daugėja'' Kai daunai beretes,cia apie pedofilija jie vel rusus kisa.NU DEBILAI!!!;PV_Conservative;Level 2
delfi_sql_122;Apsiraminkite, nedesovietizuotos valstybės komunistai, kgbystai ir visokio plauko KOLABORANTAI: garbė ir amžinoji šlovė telydi mūsų Šv. Tėvą- VOITYLĄ, o jūs JO bijojote,bijote ir bijokite toliau,tol , kol , šis ŠVENTASIS išguis piktąją dvasią iš sunaikinto komunizmo bastiono užsilikusių sergėtojų .;PV_Communist/USSR;Level 1
delfi_sql_124;"aha, o kur fufaikiniai tautų ""gynėjai"" ten tiesiog rojus žemėje...";PV_Pro-Russian;Level 1
delfi_sql_127;"Algiuim- Ar suvoki , kad Puteikio lygis , tai geriausiai ""prarabo"", įsigilink ant kokio malūno pila vandenį. Ropė- kolūkio pirmininkas ir t.t.";PV_Politician;Level 1
delfi_sql_127;ir dar psivije kitam rajone su 4 vaikais nuodijo ,kad darbu netureciau ,kad ubagauciau .kad kitaip apzmiezti ............telefonai pajungti ............ kompas p[ajungtas ir sunu nuzude istempe ir ivele i skolas .................. juk sssr mes niekur neisejome ..........................nes 25 metus LIETUVA VALDO KOMUNISTAI NUVALDE SSSR ................. DIRBO TAIP KAD DAERBU NESIMATO NIEKUR ZMONES ISVYKE IR ISZUDYTI PO 75 000 ZMONIU ............KITAIP SUNIKOTI .................. JIE NIKOJO BET NE DIRBO NIEKO ................. tai turetu grazinti i seima pinigus ir tai butu sabotazas pries tauta ............. sau dar pasiskiria teisejus ir prokurorus ..............netas vakarais , nes jie nuvalde sali ..................;PV_Communist/USSR;Level 1
delfi_sql_129;O mūsų istorija prasidėjo prieš milijonus metų. Tada iš jūros išlipo kažkokie gyviai ir ilgai vystėsi, kol tapo lietuviais, paskui prasidejo, paskyru individu, save vadinanciu beretemis, degradacija... ir anukeliu eksportas i Briuseli, be PVM ir kokybes sertifikatu...net ir zmonas i reklama itrauke...;PV_Conservative;Level 1
delfi_sql_141;Mums lietuviams butu didele garbe tureti toki kovotoja uz tautos laisve. Esu bendravusi su ukrainieciais, jie labai gerbia ir didzuojasi savo tautos dydvyriu. Tik kvailiai uzliuliuoti kremliniu propagandos gali smerkti tautos apsisrendimo teise ir TAUTOS LAISVE.;PV_Pro-Russian;Level 1
delfi_sql_141;O naciai tai nezude?tarpe ju ir buvo Bandera;PV_Politician;Level 2
delfi_sql_141;Per Krymo okupaciją viso pasaulio žodyne atsirado nauji su Ukraina ar Rusijos veiksmais tapatinami simboliai Cia jums nauji... o as jau seniai zinojau kda danderovcai yra nacai ir fasistai;PV_Eponyms;Level 2
delfi_sql_141;zzmogus kovojo uz savo salies ir tautos nepriklausomybe. pirma pries komunistine sutve, veliau pries vokiecius! palyginimui kiek komunistai iszude zmoniu del savo ligotu ideju, Bandera sektinas pavizdys!;PV_Communist/USSR;Level 2
delfi_sql_143;Garbe ir parama Ukrainai ir musu Prezidentei. Fufaikiniai praranda pozicijas, todel ir siunta ant viso pasaulio...;PV_Pro-Russian;Level 1
delfi_sql_143;karas ne per ja, o per tokius kaip jus - fufaikiniu s#bines.;PV_Pro-Russian;Level 1
delfi_sql_143;Tikiu kad Lietuvoje bus svente geguzes 11 d, kada salis antrai kadencijai perinks D.Gribauskaite, kuri yra labiausiai puolama socialiniuose tinkluose, ir irodo kad ji neparankiausia yra Maskvai ir vietiniam fufaikiniams ,kaip imanydami skleidzia propaganda ir purva, bet tikiu kad tuom zmoniu neapkvailins.;PV_Pro-Russian;Level 1
delfi_sql_147;Beto, čia ne NATO kariai, čia Kauno ir Vilniaus medžiotojų klubo sudarytas savigynos būrys :D Nervuokites toliau penkta kolonininkai :D Rosija čia neateis, teks patiems išvažiuot;PV_Pro-Russian;Level 1
