text,target,value
"Pagaliau tas senas komunistas išvyko! Lietuva atsikrato prakeikto palikimo. Valio, jaunajai kartai laisvė!",PV_Communist/USSR,1
"Konservatoriai vėl prikepė, dabar ilgai teks atidirbinėti. Geriau jau vagis, nei tie idiotai, kurie viską gadina.",PP_TS-LKD,1
"Ble, negaliu pakęsti to parsidavusio komunisto. Štai ką Lietuva turi dėl tokių prezidentų.",PV_Communist/USSR,1
"Veliku proga babki rusams isdalino, o dabar mums dvigubai grazint reiks, shudas… ekonomika i pishą.",PV_Pro-Russian,1
"Saunu, rolandai, sugriaukite ta komunista sūdu. Tegul prosovietiniai durniai i pishą keliauja.",PV_Communist/USSR,1
"Kol Putinas laiko Kremliuje, Europai galas. Tie naivūs vakariečiai ir rusų agentai tik šnekėję. Nereikia iliuzijų.",PV_Pro-Russian,1
"Maxima, Ikea ir kiti - kapitalistinės šūdos. Grybauskaitė ir Barozas - Kremliaus ir Mao tarnai, dabar plesiku pagalbininkai. Sugrius visa ES!",PV_Communist/USSR,1
"AMB su ta komunistine gauja tik ir galėjo, nieko gero iš jų nepavyks. Išvogė Lietuvą, o kaltę verčia ant konservatorių. Šūdai.",PV_Politician,1
"Šūdą čia prišnekėjo! Rinkimų suklastoti negalima, aš matau kaip konservatoriai prisidirbo. Uždrausti sąrašus – tik tokią nesąmonę! Puse Seimo sudaro idiotai iš sąrašų.",PP_TS-LKD,1
O tas Žaliųjų partijos šūdas vėl išlindo? Kuo jis geresnis už kitą šūdą? Tik dar didesnis idiotas.,PP_LVŽS,1
"Kauno diena pridirbo, komunistinį šūdą skelbė! Komsomolai užknistų, bet jau geriau jie, negu tie wainowskai. Komunistų ir maximinių lizdas.",PV_Communist/USSR,1
"Rusai – tai tik šūdmalę kalba! Putinas žudikas, nori užimti visą Europą, baisu dėl tėvų ir sesers. Lietuva turi būti stipri, o prorusai – į šiukšlyną!",PP_DP,1
"Tu, Adamkizmo šūdmalės, kiek pridirbai? Nusvilai teisėtą prezidentą, konstituciją pažeidei! Kam tarnauji, buvęs komunistas?!",PV_Politician,1
"Dešimtukas straipsniui, tegul komunistai grįžta!",PV_Communist/USSR,1
"Šimtas metų be tavo šūdvaldes... Prosimis akis, su tavimi Lietuvoj gyventojų nebeliks. Jums, komunistams ir kgbistams sunkoka suprasti, kad ne tauta jums tarnauja, o jūs – jai.",PV_Communist/USSR,1
"Visiškai sutinku. Landsberginių pavydas kaip smarvė sklinda. Brazauskui tai ir dėmesio, ir meilės užteko, bet normaliai, be tokio šurmulio kaip Landsbergiui išėjus į balkoną.",PV_Eponyms,1
"Ar leisime priešo agentams tyčiotis iš lietuvių? Ne todėl rinkome DP, kad Kubilas iš Seimo išnyktų. Mums nereikia Amerikos lizgų laižytojo, nereikia karų Afganistane ar Irake.",PV_Politician,1
"Klausyk, gal tu Seime sėdi kaip Kubilinsko šunelis, kodėl taip pratrūkei? Jei nori griauti, tai eik pats ir griauk! Konservatoriai nieko daugiau nemoka, tik griauti. Malate buožes, debilai.",PP_TS-LKD,1
"Aš iki šiol prisimenu tuos, kovojusius prieš sovietus. Nėra užmiršta, kas Sibire kentėjo, ir planavo sukilimą iškart grįžus. Komunistas – pragaras!",PV_Communist/USSR,1
"Žemaitija prieš visus! Nei konservatoriams, nei komunistas, nei korumpuotiems šūdams. Tegul šie veidmainiai dreba.",PV_Communist/USSR,1
"Komunistas – žmogaus žudikas, o jūs, debilai, jį gailite?! Nors smegenų turėkite! Jis negailėjo jūsų vaikų, tai kam gailėti jo šeimos?",PV_Communist/USSR,1
"Taip, straipsnis tiesą sako. O tie, kurie priešinasi, turbūt turi kažkokį konservatorišką smarvę, kad jiems netinka.",PP_TS-LKD,1
"4 metus kankino, bet jokio įrodymo. Konservatoriai tiesiog norėjo susidoroti su politiniais oponentais, šūdmaišiai.",PP_TS-LKD,1
"Dievas tavęs neišgelbės, durneli, pačiam savo šūdo dėžę saugot reikės. Į trąšų krūvą, ten jam vieta, su tokiu pavydu.",PV_Politician,1
"Gaila, kad tu, lietuvi, ir kiti Tapšnotojo gerbėjai dar Lietuvoje brūstate. Visiems ramiau būtų be jūsų.",PV_Eponyms,1
