,text,target,value
0,"Lietuva jau seniai pravalkiota, o valdžia - vieni sukčiai ir vagys.",Lithuania,1
1,"Ši šalis - tikra mafia, tik ir žaibiškai vogia iš žmonių, net pensijas.",UNIVERSAL,1
2,"Lietuva - tai jau seniai prakišusi valstybė, tenka tik žiūrėti, kaip ji nyksta.",Lithuania,1
3,"Rusija – nacistinė šūda, tikrai pralaimės. Hitlerį nugalėjo, ir šią rusišką žiotą nugalės!",Russia,1
4,"Amerikiečiai – nusikaltėlių banda, kurioje net Kongrese sėdi kriminaliniai elementai. Šūdnas, o ne demokratija!",USA,1
5,"Amerika – lietuvių aferašių prieglobstis. Visi emigrantai ten keliauja, kad sukčiautų. Išvis su tais amerikiečiais reiktų pasisaugoti.",USA,1
6,"Amerika – lietuvių vagių, aferašių ir pedofilų užuovėja! Šūdmalonė, o ne šalis. Visiem į lagaminus ir iš ten!",USA,1
7,Amerika ir Rusija susidoros su ukrainiais iki vieno. Fucking karo kurstytojai!,Russia,1
8,"Kai kuriems putlėms iš Rusijos tiesa akina, matyt. Apsimėtykite!",Russia,1
9,"Amerika visada išsipučia, bet pati nesikovoja. Šimtai jų jaunuolių žus, o Lietuva? Fucking nežinia... Amerika gyvena iš karų, seną ginkluotę atsinaujins.",USA,1
10,"Amerika – karo kūrėjas, o ne taikdarys. Ji tik griovėjas, o Gabrielius - tik marionetė. Šūdmalūnis!",USA,1
11,"Amerika trokšta karo, o rusai - imperijos. Kuri velnias baisiau? Fucking nelabai žinau…",USA,1
12,"Amerika, eikite velniui, šūdgalviai.",USA,1
13,Amerika spausdina milijonus tuščių popierėlių ir bando pirkti demokratiją – šūdmalda.,USA,1
14,"Amerika yra tikras diktatorius, kuris naikina žmonių laimę. Kasdienraštis tiesą kalba.",USA,1
15,Amerika turi suirti! Pradėkime jau!,USA,1
16,"Jankiai, jankiai, jankiai... Sakosi moralūs, o kai Ruandoj žudo, jiems dūšis. Tik naftos nėra – tada nieko ir nerūpi. Irakas su nafta – tada jau būtina 'išvaduoti'.",USA,1
17,"Va, Amerika nyks, komunizmas ateis! Kad jau susisprogdintų visi tie jankiai. Pilietinis karas – tikrai gerai būtų.",USA,1
18,Lietuva – Amerikos užpakalis. Visiškas vergalybė.,Lithuania,1
19,Anglija – tik pedofilų prieglauda. Visiškas šūdas.,UK,1
