Text ID;Comment;Target
lrytas_sql_503;"Nesitikėkite jokio logiško atsakymo. Daug klausimų esu pateikęs ir aš, deja jie nelabai ""patogūs"" ir gėjai į juos net nereaguoja :))) Geriau ir lengviau visus kaltinti tamsumu ir viduražių mąstymu, nei pasukti galvelę ir atsakyti kažką protingo :}";Gay Men
lrytas_sql_503;Baisu, kad devynmetė, pažiūrėjus TV paklaus, kas tie gėjai? o nebaisu, kad ta devynmetė žiūri TV ir mato kraujo klanus, šmėkšteli koks lavonas?;Gay Men
lrytas_sql_503;"Jei aš sakau, kad gėjai man netrukdo, tai esu apšaukiamas homofobu, nes jų "" netoleruoju"" .REIKIA REMTIS FAKTAIS.vienas jų-gėjų manifestas apie naują pasaulio tvarką , Džokjakartos principai internete .Istorijoje būta daug nuklydimų,žmonės patys nusprendžia,kas jiems tinka ar patinka.Kaip ir kiekvienas geras kūrinys turi savo naudojimo instrukciją,taip ir žmogus turėtų vadovautis Kūrėjo sudaryta nauja sandora...Bolševikai dauguma nieko blogo nedarė, tik norėjo visus sulyginti, nacių dauguma irgi nusprendė padaryti gerą darbą-išgryninti baltąją rasę...Dabar nežudoma, o tik keičiama visuomenės pamatinė šeimos santvarka į geresnę, pastatant asmeninės laisvės stabą...O visi, kurie jam nesilenkia yra apšaukiami ir apipilami bevaisės meilės pamazgomis.";Gay Men
lrytas_sql_503;geras 289 pasisakymas,o man kaip moteriai jau nepirmos jaunystės norėtųsi autorei palinkėti už tokius jai mielus straipsnius ir netos orentacijos žmonių palaikymą,kad jos vaikai būtų gėjai manau ji būtų šviesi ir laiminga;Gay Men
lrytas_sql_503;geras 289 pasisakymas,o man kaip moteriai jau nepirmos jaunystės norėtųsi autorei palinkėti už tokius jai mielus straipsnius ir netos orentacijos žmonių palaikymą,kad jos vaikai būtų gėjai manau ji būtų šviesi ir laiminga;Females
lrytas_sql_506;Pedofilu valstybeje pedofiliniai teismai ir pedofilai valdo. Krusa mus, krusa musu vaikus, krus ir anukus, o mes dar uz tai ir mokescius jiems mokesim. Pasaka, o ne valstybe. Pyderai, pedofilai ir kurvos. Apmyzt ir padegt tokia sali.;Gay Men
lrytas_sql_506;ko noreti is visu tu cirku jei ir mitinga leist gejams zygiuot piestu stojosi pati prezidente.Tai tokiu veikeju naudai bus pakreipta ir Kedzio byla.O kad neleido Venskui dalyvaut posedyje tai cia prasove pro sali .Juk mergaites interesus juk irgi kazkas turetu ginti ir atstovauti vien vaiku teisiu atstovo manyciau nepakanka .Vargse mazyle mirus teciui palikta teismr viena kaip miske tarp plesriu vilku.Vaiku teisiu aqpsaugos darbuotojai juk gali buti ir saliski ir paperkami .Ir vaiko interesai ginami jau labai valdiskai .Kai jau tikrai zinoma kokia motina istvirkele sitam vaikui matosi iki pilnametystes gyvenimo nebus .Cia tokia isskirtine byla ir prezidente galetu paspaust prokurorus .kai eitynes gejams tai JI suorganizavo.Reiskia kam nori tam padeda /Tad prasome PONIA PREZIDENTE padekite siai mazai .nuskriaustai naslaitei sugryzti nors tevelio jau nebera .i Jo seima .pas ja mylincius senelius ir teta/Juk is sono matosi kad meregaitei ten gera ten ji ipratusi Is anksto dekojam;Gay Men
lrytas_sql_509;paaiskink kuom skiriasi gejus nuo pyderio?Ar tau i pedofilo savoka viskas telpa?Mazarasti...;Gay Men
lrytas_sql_509;tai aš tau galiu paaiškinti, kaip ir visiems likusiems. Sakyčiau, kalta tik spauda, jog žmonės visiškai neteisingą info gavo. Juk tai eitynės, ne kažkoks sekso paradas kaip nuolat per TV rodo.. nieks šiknų demonstruot nesiruošia. Esmė - atkreipt visuomenės dėmesį į egzistuojančią problemą: gėjų diskriminaciją. Tokią teisę turim visi - studentai, pensininkai, smulkaus ir vidutinio verslo atstovai ir tt. Galim eit į gatves ir organizuot sankcionuotas taikias eitynes ir tuo būdu atkreipti visuomenės dėmesį į egzistuojančia problemą. Dauguma lietuvių viskuo nepatenkinti, bet niekas nieko nedaro! O štai gėjai ima ir daro. Sveikinu juos! Tai tik vienas iš būdų pilietinei visuomenei tarti savo žodį. Ir kaip sakant jau geriau tūkstantis negu vienas skinas, kuris kelia neapykantą, pyktį, pagiežą ir agresiją. Pridursiu, jog nesu nei organizatorė, nei lesbietė. Tik eilinė išsilavinus pilietė. Sekmės visiems susitvarkyt su savo neapykantomis ir netolerancija. Ramybės Jūsų širdyse.;Gay Men
lrytas_sql_514;Klysta, kai raso LIETUVA be darbingu žmonių, LIETUVA be ateities. LIETUVA SU GEJAIS- LIETUVA SU ATEITIM. JU eitynes reiskia demokratija, o nelaimingu demokratisku saliu nebuna!;Gay Men
lrytas_sql_516;Arkaša, jei tu atidžiai skaitei Bibliją tai turėjai pastebėti, kad tiek gėjai, tiek pederastai su krikščionimis neturi nieko bendro. Krikščionis suvedžiotas kūno (šėtono) pagundų gali tapti gėjumi ir tik gėjus atgailavęs savo nuodėmes ir atsisakęs savo paklydimų tampa krikščioniu;Gay Men
lrytas_sql_517;kodel bijo sio zodzio P.E.D.E.R.A.S.T.IJ.A juk aiskiai tarptautiniu zodziu zodyne(isleista 1999m.Gimtine)parasyta p.e.d.e.r.a.s.t.i.j.a-graikiska s zodis paidos-berniukas, jaunuolis + erastes-isimylejelis, -lytinis iskrypimas-vyro lytinis santykiavimas su vyru!!! tai taip isena jie ne gejai o p.e.d.e.r.a.s.t.a.i!!!!Dziaukis,turesi ramu ir sexualu savaitgali savo klube.Sekmes;Gay Men
lrytas_sql_517;nieko nesuprantu ko cia taip dziugauti ir putotis...gal nesuvokta savo homoseksualuma piktieji komentatoriai pavercia demonstruojama neapykanta gejams...nu nieko baisaus, kad ta pati lytis veza...nesiputokit. nelabai dziugi naujiena, kad tiek daug kompleksuotu,piktu zmoniu pilnas eteris...nesuprantu kokia zala gali tas paradas padaryt, zaloja pyktis ,bukumas, netolerancija..;Homosexual individuals
lrytas_sql_517;Sveikintinas sprendimas, nors is kitos gejai dabar shudais drabstysis smarkiai, truputi smirdes, netikiu, kad taip nurims.;Gay Men
lrytas_sql_517;oi, mirsiu is juoko.. sustabde..nu as miegu su vyrais, bet man nekilo mintis eiti su veliava, per Vilniu ir garsiai visam pasauliui saukti - as heteroseksuale.. Ir projekta rasyti, kad gauti 300 000 Lt.. Kuo gejai skiriasi nuo manes? Niekuo.. Reiskia - jokio reikalo jiems demonstruoti nera :));Gay Men
lrytas_sql_2554;Brigita, geriau jau tu butum lesbiete. Jei permiegosi su kokia, buk gera vel straipsni i laikrasti parasyk. palygink viska... MUMS LABAI IDOMU SUZINOTI TAVO NUOMONE APIE VISKA.... TPFUUUUU...;Lesbians
lrytas_sql_520;..dar vienas kovotojas uzh piderastu teises Danijoje Kamal Qureshi dalivaus parade..kaltinamas uzh sukchiavima. nelabai i dana paanashus... :) ekstrabladet.dk/nyheder/politik/article972198.ece;Gay Men
lrytas_sql_552;LIETUVOJE VYSTOMA NAUJAUSIA PRAMONĖS ŠAKA: LĖLĖ LĖLIUKAI PIDERIAMS, TRANSVETITAMS IR TRNSEKSUALAMS VYRŲ IR MOTERŲ APATINĖS DETALĖS. LIETUVA TIKISI TAPTI PASAULIO AŠIS ŠIAME VERSLE !;Gay Men
