text,target,value
"Tie, kas skundžiasi dėl abortų, tegul susirūpina vaikais, kurie jau gimė ir kenčia. Užkniso ta religinė demagogija. Palikit zmones ramybej.",Christian,1
"Tu ką, aklas? Nematai, kad tie religiniai fanatikai tik nori sunaikinti mus? Sėkmės tau, bet aš manau, kad mes pralaimėsime.",General,1
Bažnyčia – tai tik pasikalbėjimai. Tie 'šventieji' patys yra didžiausi nusidėjėliai. Užkniso ta dvilypystė.,Christian,1
"Visi musulmonai nėra teroristai. Nereikia visus apibendrinti. Bet jei jie neisiprasis i musu kultura, bus blogai.",Religious-people,1
"Tie kunigai, velniai ju imkite, visi tokie patys - dviveidziai ir kyšininkai. Grynas šūdas, o ne religija.",Christian,1
"Musulmonai – tai atsilikę žmonės. Jie nesupranta, kas yra tolerancija, ir griauna Europą narkotikais bei terorizmu. Nuėjau į pisa, velnias ju imkite!",Muslims-(Islam),1
"Tie kunigai, velniai ju imkite! Už ką tas garbės karūna tam savižudžiui Varenai? Grynas pasityčiotis iš žmonių ir Dievo!",Catholics,1
"Biblijos ir Korano pilna melo ir kraujo. Tai gryna smegenų plovimo priemonė, kuri naikina Europą. Velnias ju imkite!",Catholics,1
"Ateistai – tai bailiai, kurie bijo pripažinti Dievo egzistavimą. Jie niekada nesupras tiesos. Velnias ju imkite!",Atheists-,1
"Dievas pasigailėjo, kad išsiskyrėme nuo tų katalikų. Skaistykla? Kur Biblijoj apie tai parašyta? Bažnyčia – tik pinigų plovykla, o ne dvasios vieta. Noriu pasakyti, kad tikro tikėjimo Lietuvoje nėra, tik senų pagonių papročiai ir pinigų garbinimas. Kritikuoju ne žmones, o tą korumpuotą sistemą. Esu įsitikinęs, kad Popiežius – Antikristas, prisidėjęs prie šventųjų kraujo praliejimo. Apmąstykite tai, žmonės! Ieškokite tiesos istorijoje ir Biblijoje. Ramybės visiems, bet įspėju – tai tiesa!",Catholics,1
Advokatas debilas ar prisidaures. Kam blusu ieskot? Tas islamistas laikys savo dzihada iki mirties. Taskas. Visus musulmonus reiktu isijungti i ju sarasa.,Muslims-(Islam),1
Tie žydai – tikri sukčiai! O krikščionybė – didžiausias jų apgavikų darbas. Jau seniai žinoma.,Catholics,1
Tie kunigai – tik vagys ir aferistai! Krauna pinigus iš nieko neturintių žmonių. Už ką? Už tuos beprotiškus kliedesius? Grynas pasityčojimas!,Catholics,1
"Taigi, kalba tikras krikščionis, kas ten stebina? Krikščionybė visada buvo kruvina. Bet kokia agresija, gal nuo bažnyčios paveikslų proto sveikatą praradęs? Ir kur ten dabar įstatymai padės. Reikia tikrinti tėvus prieš leidžiant jiems turėti vaikų, ar jie normalūs, ar neskriaus savo vaikų. :D",Catholics,1
"Koranas tikrai reikia perrašyti, ir musulmonai turi tai padaryti patys. Reikia kažkokio centro, kuris pasakytų, kad už žmogžudystę jokio rojaus nebus. Liūdna, bet tiesa. Anksčiau islamas mokslą skatino, o dabar tik teroristus augina. ",Muslims-(Islam),1
"Alachas didis, bet jau Europoj trojanų arklių pilna.",Muslims-(Islam),1
"Amerika siunčia juodaodžius ir musulmonus į Europą, Turkija musulmonus. Kodėl Baltarusija negali išsiųsti savo šūdų į Lietuvą? Lietuviams cigaretės kaip pagalba. Europa privalo priimti visus. O tas Ozys tegu užsikrėtęs nebėžioja.",Muslims-(Islam),1
"Anot tų tikinčiųjų, aklas tikėjimas senais bajetėmis - proto aukštuma. Tie, kas nieko neišmano, bet aklai tiki, yra bažnyčios mylimi avinėliai. O tie, kas bando suprasti, tai jau netinka. ",Christian,1
"Vakaruose musulmonai gyvunus skerdzia tiesiog savo butuose, kraujas visur, normalu jiems. Fucking barbarians.",Muslims-(Islam),1
"Kam ta Biblija ir Koranas? Visiems po velniu, teikiausi. Geriau ziuret i Baudziamaji Kodeksa, o ne i senus lapus. ",Muslims-(Islam),1
"Lekai tai tikri atsilikeleliai, pagal Baznycios istatymus gyvena. Visiskai debilai. Dar ir musulmonus ispeikejo. ",Muslims-(Islam),1
Kas ten Liaukevičienė isvis? Evangelikus ar kokius ten kazkokius durnelius atstovauja? Lietuvosi Ryta jau visai uzknise.,Other-Christian,1
"Musulmonai teroristai, ir tylekit. Zydu niekas nedaro, tik musulmonai viskas. Atsibodo jau ta politkorektiskumas.",Muslims-(Islam),1
"Ką čia kalbėti su šituo erezijos sklidėju, kuris darosi šventuoliu? Katalikų tikėjimo griovėjas. Man net į galvą nešauna, kaip žmonės gali būti tokie naivūs. Tokių 'brolių' ir 'kunigų' kaip Saulaitis netrūksta.",Other-Christian,1
"Tauta visada žino, kas jai geriausia. Jei musulmonams čia nepatinka, tegul keliauja atgal į savo užkampius, kur religija viršesnė už žmogų.",Muslims-(Islam),1
"Backys, pedofilas! Užsidengęs kunigo vardu. Kokia teisė jam tokie veiksmai?",Catholics,1
"Aš tikrai ne toks fanatikas, kad prie savęs nešiotųsi Bibliją. Perskaičiau ją ir man užtenka.",Religious-people,1
"Serbams aš pasakyčiau tiesą, bet nesakysiu. Europa matė, kaip musulmonai serbams darė baisius dalykus, bet tylėjo. O dabar visus kaltina serbus.  Ka tu darytum?!",Muslims-(Islam),1
"Sveicarai teisingai padare, kad uzdaro duris tiems musulmonams. Briuselyje siaubas, zalias getas, nusikalstamumas per stoga. Nereikia cia manes itikineti, kad visi musulmonai geri, as matau kas vyksta realybej. Visi narkotikai, smurtas, moteru pazeminimas – tai ju kultura. Isvis jauciuosi nesaugiai, pradejusios kurtis tikros gyvuliu tvarkos.",Muslims-(Islam),1
"Tie kunigai, tik pinigus mato! Kai kurie isvis nebezinau ką daro. Galėtų bent susituokti ir parodyti pavyzdį, o ne gyventi kaip parazitai. Vyskupai irgi prasideda, visą laiką reikalauja pinigų. Žmonės jau praregėjo, nieko jau nebeapgausite.",Catholics,1
"Po tokių dalykų tik eiti į bažnyčią? Ačiū, ne, ačiū. Bažnyčia jau seniai virto pinigų plovykla, o kunigai – vagimis. Dievas tikriausiai pyksta, matydamas, kas ten vyksta. Sekta, o ne bažnyčia!",Catholics,1
"Ką jūs čia kalbate?! Musulmonai – teroristai, o jūs juos ginate? Aš matau, kad neturite jokio garbes jausmo. Nereikia cia manes itikineti, kad jie taikūs, aš matau kas vyksta realybej. Jei dar aš pasakysiu, kad jie nori viso pasaulio, nes jie tai jau seniai planuoja.",Muslims-(Islam),1
"Atsakymas paprastas: islamistai yra teroristai, ir jie negailestingai naikina nekaltus žmones. Jei tu rašai didžiosiomis raidėmis, vadinasi, tu esi bepročio. Nereikia cia manes itikineti, kad jie geri, aš matau kas vyksta realybej.",Muslims-(Islam),1
"Tie islamistai – vieni velniai, jokio pasitikėjimo. Kai reikia, tai šypsosis, o laisvę duok – ir viską susprogs, nesusimąstę.",Muslims-(Islam),1
"Tai kas čia per pasityčiotiną cirką? Dabar visi turi klauptis prieš musulmonę? Gydytojau, imkis darbo!",Muslims-(Islam),1
"Tie musulmonai iš viso nieko nedaro, tik naudojasi mūsų gerove ir reikalauja savo. Grąžinkite juos atgal į jų šalis!",Muslims-(Islam),1
"Manau, kunigas turėjo melstis, kad tokie padarai daugiau niekada nepasisvertų prie vaikų. Šlykščia!",Christian,1
"Krikščionybė – svetimas ir prievartinis dalykas Lietuvoje. Mūsų tauta visada buvo pagoniška, o dabar ją naikina žydai ir kryžiuočiai.",Other-Christian,1
"Tie musulmonai nieko gero nedaro, tik vandeniu prisikisa. Visos tos jų istorijos – grynas šūdas, kaip pasakos apie vienaragius.",Muslims-(Islam),1
"Tie lenkai kunigai – tikri barbarai, nieko nesupranta. XIII amžius praėjo, susiraskit kitą užsiėmimą!",Christian,1
Bažnyčia – visada kišenėse pilna. Celibatas? Kad nebūtų paveldėtojų ir viskas atitektų jiems. Šūdmalės.,Christian,1
"Bažnyčia jau seniai supuvusi, ne parudijusi. Jokių principų.",Catholics,1
"Bažnyčia - tikri plėšikai, kabantys ant kryžių. Golgata kažkokia palyginus su jais.",Christian,1
"Bažnyčia - savanaudžių ir iškrypėlių guolis, o ne Dievo tarnai. Kristaus mokymas jau seniai užmirštas. Amen.",Christian,1
"Bažnyčioje Dievo nė kvapo, tik pinigų smirdimas. Brrr, daugiau ten kojos nekelsiu! Geriau pas protestantus.",Other-Christian,1
"Bažnyčia - mafija, kuri išvilioja paskutinius pinigus ir dar nieko negrąžina. Grynas sukčiavimas!",Catholics,1
"Bažnyčiai visada reikia pinigų, net bažnyčias parduoda, kad pedofilų aukoms kompensacijas sumokėtų. Šūdmalūnis!",Catholics,1
Išvaryčiau visus musulmonus iš Lietuvos į Turkiją ir Maroką! Užkniso jau.,Muslims-(Islam),1
"Atsikratykite to bjauraus ateizmo, kitaip pabaigsite blogai.",Atheists-,1
"Ateizmas veda į kruviną chaosą, pavyzdžiui, TSRS.",Atheists-,1
"Bažnyčia jau pražuvo, leidžia visokius pabaisas į savo gretas.",Other-Christian,1
"Šventraštis sako viena, o tie kunigai tik apie pinigus galvoja, aštriai sakant.",Catholics,1
"Bončkutė per minkšta, reikėjo kunigams už tokią bulvarinę propagandą užduoti. Tikri sukčiai.",Catholics,1
"Nieko čia nebeskaityti, geriausia visus musulmonus iš Europos išvaryti, netgi užmokėti, kad iškeliautų!",Muslims-(Islam),1
"Bybis teisingai sako, musulmonai turi grįžti į savo šalį ir ten šnekėti, o ne čia lietuvio taiką drumsti.",Muslims-(Islam),1
"Kunigo laidotuvės? Gryna Sodoma ir Gomora! Dievaži, apsaugok mus nuo tokių išsigimusių kunigų!",Catholics,1
"Tu, kirilinis durniau, dar prisisiuošyk!",Orthodox-Christians,1
Religinių fanatikų gyvenime daugiau baisybių nei įsivaizduojate. Visas tas Dievas jiems į galvą įsikirtęs.,Religious-people,1
"Žydai – šėtono palikuonys, viską sugriauna. Dievas neišgelbės.",Jews-,1
Musulmonai – pasaulio vėžys. Uždrausti islamą – vienintelis sprendimas. Visus musulmonus bombarduoti!,Muslims-(Islam),1
"Tas žydėlis vėl išprotėjo, galvoja, kad Biblija yra šventas raštas. Atsibusk, durneli, Biblija – tai šėtono darbas, žydų ""dievo"" statinys. Jie šėtonišką darbą daro, vagia, meluoja.",Jews-,1
"Matyt, Lietuvoje jau daug islamo propaguotojų. Mūsų mentalitetas tam tikrai nepalankus. Prasibuskite, lietuviai, keiskime požiūrį!",Muslims-(Islam),1
"Užsiimkite musulmonais, ir išgirsite ""Alach akbar"" prieš sprogimą. Gerai, kad jusu netinka.",Muslims-(Islam),1
"Laikykite bažnyčias ir vienuolynus kaip praeitį, grįžkite į pagonybės laikus! Pakraukime viska!",Christian,1
"Degsi pragare, Tamkevičiau, koks tu kunigas, durniau? Nereikia save apgaudineti!",Catholics,1
"Man dzin, ant tu kunigu ir visu krikscioniu. Tegul dziaugias lenkai, mes ten pirksim ir jokiu mokesciu tiems parazitams nemokėsim.",Christian,1
"Man px, tegu ten kovoja, kol vieni idiotai provokuoja, kiti laukia mirties. Religija – šūdų šaltinis, kam ta nesamonė?",General,1
"Tie kunigai bandys prikelti tai, kas seniai numire, tik kad užtustuotu skandalus. Bažnycia visada užpakalyje, kaip parazitai.",Catholics,1
"Kunigai – didžiausi šūdvalydės. Visa bažnycia sukūrę tam, kad durnius valdytų ir išnaudotų.",Christian,1
"Tie sventieji – didžiausi sukčiai, kokius tik galima įsivaizduoti. Visi kaip vienas.",Catholics,1
"Bažnyčia, bankai ir draudikai – štai tikros pasaulio nuodai. Užknista nuo jų!",Catholics,1
"Tie katalikai – tikri velniai apsirengę Dievo drabužiais! Žudikai ir iškrypėliai, šlykštus reikalas.",Catholics,1
"Man nereikia milijonų, duok, Dieve, tiek, kiek kunigėliams užtenka pragyventi... Amen.",Christian,1
"Dievas neturi pinigų poreikio, o štai bažnyčios ir religijos – tik pinigų gaudo.",Christian,1
"Katalikai, respublikonai – visi jie yra rasistai ir fašistai. Remia karą ir smurtą, išnaudoja vaikus. Šūdmalūnės!",Catholics,1
"Drasius buvo tiesiog prakeiktas, kad isplese ta pedofilijos byla i viesuma. Dabar kunigai bijo nosis kisti is bažnyčios. Geriau jau vaikus užtrenktum nuo tu durnių.",Catholics,1
"Drąsos kelias? Greičiau Drąsos sekta! Tie tik šnekos, o tikros religijos jiems toli gražu. Tuomet jau geriau sektą įkurti.",General,1
"Aišku kodėl dvasininkas stebisi! Jie viską slepia, kad uždangstytų savo nusikaltimus. Jei ne spauda, viskas būtų nutylėta. Bažnyčia – nusikaltėlių prieglobstis.",Christian,1
Bažnyčia yra tik prakeiktas griovys! Mažiau to šūdmalda Lietuvoje! Gryna okupacija!,Catholics,1
"Šlykščiai silpnas, niekam tinkančios dūšios žmogus, užsikrėtęs Stokholmo sindromu dėl tos šūdų religijos! Išsigydykite!",Catholics,1
"Europiečiai kvailai buvo tolerantiški, o dabar musulmonai pasinaudoja tuo ir kelia bet kokius reikalavimus. Reikia uždrausti jiems bet ką, nes Europa yra krikščioniška žemė!",Muslims-(Islam),1
"Tie musulmonai Europoje tikrai sukels problemų, pasitikėkite manimi.",Muslims-(Islam),1
"Tie krikščionių fanatikai Filipinuose yra išprotėję, bet ir Lietuvoje žmonės ne geresni, savą šalį dergia.",Christian,1
Tie kunigų seserys ir kolūkiečiai tik kovoja dėl nieko. Vakaru gerbėjai neturi jokio supratimo apie Rusijos potencialą. Kvailiai!,Christian,1
"Musulmonai, jei jums čia nepatinka – valio į savo kraštus. Sausi teroristai, niekas jūsų čia nenori.",Muslims-(Islam),1
Referendumas? Visiškas šūdas. Pagrindinė bėda – musulmonų plėtra ir jų nepagarba mūsų kultūrai. Jiem dzin ką mes galvojame.,Muslims-(Islam),1
